seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,197,1.1061757107575734,0.7998046875,1.6127499341964722,0.26973684210526316,VAE | s2345,2024-03-08 19:33:58.829791
2024,validation,off,200,0.001,128,256,198,1.1000048990050952,0.8033854166666666,1.6178001165390015,0.26776315789473687,VAE | s2345,2024-03-08 19:33:58.829791
4042,validation,off,200,0.001,128,256,197,1.1066393827398617,0.79638671875,1.6064060926437378,0.27960526315789475,VAE | s2345,2024-03-08 19:33:58.829791
8096,validation,off,200,0.001,128,256,199,1.1117535655697186,0.7903645833333334,1.6293655633926392,0.25263157894736843,VAE | s2345,2024-03-08 19:33:58.829791
128000,validation,off,200,0.001,128,256,199,1.0970731005072594,0.8097330729166666,1.6077511310577393,0.28092105263157896,VAE | s2345,2024-03-08 19:33:58.829791
42,validation,off,200,0.001,128,256,198,1.3898754293719928,0.5284830729166666,1.5914801359176636,0.2743421052631579,p_link | s2345,2024-03-08 19:34:42.350982
2024,validation,off,200,0.001,128,256,199,1.3869838764270146,0.52783203125,1.5904202461242676,0.28157894736842104,p_link | s2345,2024-03-08 19:34:42.350982
4042,validation,off,200,0.001,128,256,198,1.3901582981149356,0.5302734375,1.5946340560913086,0.2736842105263158,p_link | s2345,2024-03-08 19:34:42.350982
8096,validation,off,200,0.001,128,256,199,1.3884735107421875,0.5323893229166666,1.593626618385315,0.2730263157894737,p_link | s2345,2024-03-08 19:34:42.350982
128000,validation,off,200,0.001,128,256,197,1.39061143497626,0.5244140625,1.586068868637085,0.2736842105263158,p_link | s2345,2024-03-08 19:34:42.350982
42,validation,off,200,0.001,128,256,191,1.0786406621336937,0.82958984375,1.612396240234375,0.275,StandardAE | s2345,2024-03-08 19:35:24.833778
2024,validation,off,200,0.001,128,256,199,1.1079119568069775,0.7972005208333334,1.6010322570800781,0.2875,StandardAE | s2345,2024-03-08 19:35:24.833778
4042,validation,off,200,0.001,128,256,197,1.0892335548996925,0.81591796875,1.6063735485076904,0.2848684210526316,StandardAE | s2345,2024-03-08 19:35:24.833778
8096,validation,off,200,0.001,128,256,199,1.1046123231450717,0.7999674479166666,1.6172713041305542,0.26907894736842103,StandardAE | s2345,2024-03-08 19:35:24.833778
128000,validation,off,200,0.001,128,256,189,1.0985044166445732,0.80615234375,1.6106113195419312,0.2756578947368421,StandardAE | s2345,2024-03-08 19:35:24.833778
42,validation,off,200,0.001,128,256,183,1.006819802025954,0.8955078125,1.6326022148132324,0.25723684210526315,no_pareto | s2345,2024-03-08 19:36:07.260439
2024,validation,off,200,0.001,128,256,177,1.0027023429671924,0.8994140625,1.6278454065322876,0.2513157894736842,no_pareto | s2345,2024-03-08 19:36:07.260439
4042,validation,off,200,0.001,128,256,178,0.9976156701644262,0.9041341145833334,1.6323317289352417,0.24407894736842106,no_pareto | s2345,2024-03-08 19:36:07.260439
8096,validation,off,200,0.001,128,256,185,1.0050176071623962,0.8972981770833334,1.6226483583450317,0.2657894736842105,no_pareto | s2345,2024-03-08 19:36:07.260439
128000,validation,off,200,0.001,128,256,198,1.0061814561486244,0.8956705729166666,1.613181710243225,0.2730263157894737,no_pareto | s2345,2024-03-08 19:36:07.260439
42,validation,off,200,0.001,128,256,180,0.9777812908093134,0.9259440104166666,1.619779109954834,0.2618421052631579,pca single_task_stacked | s2345,2024-03-08 19:36:50.254412
2024,validation,off,200,0.001,128,256,172,0.9889418097833792,0.9140625,1.6107958555221558,0.275,pca single_task_stacked | s2345,2024-03-08 19:36:50.254412
4042,validation,off,200,0.001,128,256,181,0.9941450692713261,0.9088541666666666,1.5929758548736572,0.2980263157894737,pca single_task_stacked | s2345,2024-03-08 19:36:50.254412
8096,validation,off,200,0.001,128,256,180,0.9891975757976373,0.9137369791666666,1.613791584968567,0.26776315789473687,pca single_task_stacked | s2345,2024-03-08 19:36:50.254412
128000,validation,off,200,0.001,128,256,191,0.984177595625321,0.9191080729166666,1.611169695854187,0.2723684210526316,pca single_task_stacked | s2345,2024-03-08 19:36:50.254412
42,validation,off,200,0.001,128,256,198,1.4834487562378247,0.4021809895833333,1.6221226453781128,0.21447368421052632,p_decor | s2345,2024-03-08 19:37:32.603498
2024,validation,off,200,0.001,128,256,199,1.4855512082576752,0.3933919270833333,1.6009857654571533,0.24013157894736842,p_decor | s2345,2024-03-08 19:37:32.603498
4042,validation,off,200,0.001,128,256,198,1.4870978891849518,0.38623046875,1.6127537488937378,0.2355263157894737,p_decor | s2345,2024-03-08 19:37:32.603498
8096,validation,off,200,0.001,128,256,199,1.4848404675722122,0.3937174479166667,1.612956166267395,0.2236842105263158,p_decor | s2345,2024-03-08 19:37:32.603498
128000,validation,off,200,0.001,128,256,196,1.4859933704137802,0.3922526041666667,1.5981565713882446,0.2565789473684211,p_decor | s2345,2024-03-08 19:37:32.603498
42,validation,off,200,0.001,128,256,199,1.0008675567805767,0.9010416666666666,1.6181706190109253,0.26973684210526316,p_minsg | s2345,2024-03-08 19:38:15.201482
2024,validation,off,200,0.001,128,256,199,1.0159760192036629,0.8850911458333334,1.6219218969345093,0.2578947368421053,p_minsg | s2345,2024-03-08 19:38:15.201482
4042,validation,off,200,0.001,128,256,191,1.0254209811488788,0.8746744791666666,1.6061917543411255,0.28157894736842104,p_minsg | s2345,2024-03-08 19:38:15.201482
8096,validation,off,200,0.001,128,256,198,1.0230860536297162,0.8776041666666666,1.6191045045852661,0.26710526315789473,p_minsg | s2345,2024-03-08 19:38:15.201482
128000,validation,off,200,0.001,128,256,197,1.0304164625704288,0.8712565104166666,1.6136780977249146,0.27039473684210524,p_minsg | s2345,2024-03-08 19:38:15.201482
42,validation,off,200,0.001,128,256,194,1.0804254325727622,0.828125,1.6225857734680176,0.2546052631578947,p_ming | s2345,2024-03-08 19:38:58.504374
2024,validation,off,200,0.001,128,256,195,1.0772221113244693,0.83251953125,1.6093093156814575,0.26776315789473687,p_ming | s2345,2024-03-08 19:38:58.504374
4042,validation,off,200,0.001,128,256,197,1.0934026713172595,0.8170572916666666,1.6187493801116943,0.2598684210526316,p_ming | s2345,2024-03-08 19:38:58.504374
8096,validation,off,200,0.001,128,256,197,1.0777916684746742,0.8328450520833334,1.6139661073684692,0.2657894736842105,p_ming | s2345,2024-03-08 19:38:58.504374
128000,validation,off,200,0.001,128,256,199,1.0780583595236142,0.8330078125,1.6255050897598267,0.2493421052631579,p_ming | s2345,2024-03-08 19:38:58.504374
42,validation,off,200,0.001,128,256,198,0.9974801701804002,0.9046223958333334,1.6278712749481201,0.2532894736842105,pareto | s2345,2024-03-08 19:39:41.512012
2024,validation,off,200,0.001,128,256,195,1.0118940907220046,0.8899739583333334,1.636218547821045,0.24868421052631579,pareto | s2345,2024-03-08 19:39:41.512012
4042,validation,off,200,0.001,128,256,194,1.0016191179553668,0.90087890625,1.6204365491867065,0.2723684210526316,pareto | s2345,2024-03-08 19:39:41.512012
8096,validation,off,200,0.001,128,256,189,0.9919599729279677,0.91162109375,1.6345118284225464,0.24868421052631579,pareto | s2345,2024-03-08 19:39:41.512012
128000,validation,off,200,0.001,128,256,199,1.007227584719658,0.8946940104166666,1.6284123659133911,0.24868421052631579,pareto | s2345,2024-03-08 19:39:41.512012
42,validation,off,200,0.001,128,256,199,0.98067565386494,0.921875,1.6288349628448486,0.2513157894736842,p_recon | s2345,2024-03-08 19:40:24.654999
2024,validation,off,200,0.001,128,256,197,0.9745807026823362,0.9280598958333334,1.629382610321045,0.25394736842105264,p_recon | s2345,2024-03-08 19:40:24.654999
4042,validation,off,200,0.001,128,256,191,0.9718886303404967,0.9313151041666666,1.619450330734253,0.25723684210526315,p_recon | s2345,2024-03-08 19:40:24.654999
8096,validation,off,200,0.001,128,256,198,0.984391950070858,0.91845703125,1.6365450620651245,0.2381578947368421,p_recon | s2345,2024-03-08 19:40:24.654999
128000,validation,off,200,0.001,128,256,197,0.9753227084875107,0.927734375,1.6275025606155396,0.24539473684210528,p_recon | s2345,2024-03-08 19:40:24.654999
