seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,198,1.6648549338181813,0.7941080729166666,2.0516326427459717,0.40460526315789475,VAE | s2345,2024-03-08 19:41:08.151246
2024,validation,off,200,0.001,128,256,199,1.6664956187208493,0.7923177083333334,2.036224603652954,0.41710526315789476,VAE | s2345,2024-03-08 19:41:08.151246
4042,validation,off,200,0.001,128,256,198,1.6549337009588878,0.8037109375,2.053068161010742,0.40131578947368424,VAE | s2345,2024-03-08 19:41:08.151246
8096,validation,off,200,0.001,128,256,197,1.6637387524048488,0.7958984375,2.044703245162964,0.4125,VAE | s2345,2024-03-08 19:41:08.151246
128000,validation,off,200,0.001,128,256,198,1.6600321307778358,0.7991536458333334,2.0314786434173584,0.42697368421052634,VAE | s2345,2024-03-08 19:41:08.151246
42,validation,off,200,0.001,128,256,199,1.9167510196566582,0.5574544270833334,2.060969829559326,0.39473684210526316,p_link | s2345,2024-03-08 19:41:52.358142
2024,validation,off,200,0.001,128,256,196,1.9291700373093288,0.5457356770833334,2.044128656387329,0.41578947368421054,p_link | s2345,2024-03-08 19:41:52.358142
4042,validation,off,200,0.001,128,256,199,1.9214855457345645,0.5550130208333334,2.0510990619659424,0.4072368421052632,p_link | s2345,2024-03-08 19:41:52.358142
8096,validation,off,200,0.001,128,256,199,1.9225247999032338,0.5499674479166666,2.070195198059082,0.3875,p_link | s2345,2024-03-08 19:41:52.358142
128000,validation,off,200,0.001,128,256,198,1.9262041052182515,0.5481770833333334,2.05846905708313,0.3973684210526316,p_link | s2345,2024-03-08 19:41:52.358142
42,validation,off,200,0.001,128,256,195,1.616464080909888,0.84521484375,1.946132779121399,0.5098684210526315,StandardAE | s2345,2024-03-08 19:42:34.483151
2024,validation,off,200,0.001,128,256,191,1.6067454268534977,0.85546875,1.9312777519226074,0.5289473684210526,StandardAE | s2345,2024-03-08 19:42:34.483151
4042,validation,off,200,0.001,128,256,196,1.6064899812142055,0.8557942708333334,1.966856598854065,0.49276315789473685,StandardAE | s2345,2024-03-08 19:42:34.483151
8096,validation,off,200,0.001,128,256,192,1.6199409067630768,0.84228515625,1.9535036087036133,0.5098684210526315,StandardAE | s2345,2024-03-08 19:42:34.483151
128000,validation,off,200,0.001,128,256,188,1.6101271485288937,0.8515625,1.965368628501892,0.4861842105263158,StandardAE | s2345,2024-03-08 19:42:34.483151
42,validation,off,200,0.001,128,256,199,1.6200689698259036,0.837890625,1.9311693906784058,0.5243421052631579,no_pareto | s2345,2024-03-08 19:43:17.349949
2024,validation,off,200,0.001,128,256,198,1.6167177831133206,0.8408203125,1.9157816171646118,0.5414473684210527,no_pareto | s2345,2024-03-08 19:43:17.349949
4042,validation,off,200,0.001,128,256,199,1.625189408659935,0.8321940104166666,1.937677264213562,0.5184210526315789,no_pareto | s2345,2024-03-08 19:43:17.349949
8096,validation,off,200,0.001,128,256,199,1.629990577697754,0.8279622395833334,1.927992343902588,0.5256578947368421,no_pareto | s2345,2024-03-08 19:43:17.349949
128000,validation,off,200,0.001,128,256,198,1.622554158171018,0.8351236979166666,1.8985854387283325,0.5625,no_pareto | s2345,2024-03-08 19:43:17.349949
42,validation,off,200,0.001,128,256,195,1.5362762411435444,0.9231770833333334,1.9109636545181274,0.5460526315789473,pca single_task_stacked | s2345,2024-03-08 19:44:00.842558
2024,validation,off,200,0.001,128,256,188,1.5368096083402634,0.9226888020833334,1.8862733840942383,0.5743421052631579,pca single_task_stacked | s2345,2024-03-08 19:44:00.842558
4042,validation,off,200,0.001,128,256,193,1.5350483333071072,0.9244791666666666,1.9274855852127075,0.5243421052631579,pca single_task_stacked | s2345,2024-03-08 19:44:00.842558
8096,validation,off,200,0.001,128,256,199,1.5398484940330188,0.91943359375,1.911019206047058,0.5532894736842106,pca single_task_stacked | s2345,2024-03-08 19:44:00.842558
128000,validation,off,200,0.001,128,256,199,1.5409173220396042,0.9182942708333334,1.916852593421936,0.5381578947368421,pca single_task_stacked | s2345,2024-03-08 19:44:00.842558
42,validation,off,200,0.001,128,256,196,2.1394247760375342,0.3196614583333333,2.2671213150024414,0.16710526315789473,p_decor | s2345,2024-03-08 19:44:43.563890
2024,validation,off,200,0.001,128,256,197,2.135816385348638,0.3165690104166667,2.2734534740448,0.15789473684210525,p_decor | s2345,2024-03-08 19:44:43.563890
4042,validation,off,200,0.001,128,256,195,2.1419773499170938,0.3111979166666667,2.265395402908325,0.17105263157894737,p_decor | s2345,2024-03-08 19:44:43.563890
8096,validation,off,200,0.001,128,256,199,2.1341165055831275,0.3232421875,2.274569272994995,0.15394736842105264,p_decor | s2345,2024-03-08 19:44:43.563890
128000,validation,off,200,0.001,128,256,193,2.138072654604912,0.3206380208333333,2.2749886512756348,0.15592105263157896,p_decor | s2345,2024-03-08 19:44:43.563890
42,validation,off,200,0.001,128,256,198,1.6041580041249592,0.8538411458333334,1.9969255924224854,0.4664473684210526,p_minsg | s2345,2024-03-08 19:45:26.216814
2024,validation,off,200,0.001,128,256,194,1.5978892917434375,0.8600260416666666,1.9955977201461792,0.4605263157894737,p_minsg | s2345,2024-03-08 19:45:26.216814
4042,validation,off,200,0.001,128,256,197,1.6186909452080727,0.83935546875,2.0035908222198486,0.4585526315789474,p_minsg | s2345,2024-03-08 19:45:26.216814
