seed,nmi,tensor_label,export_time
42,0.01683928807355456,VAE | s2345,2024-03-10 14:21:59.053803
2024,0.017039666609405594,VAE | s2345,2024-03-10 14:21:59.053803
4042,0.016656337737203705,VAE | s2345,2024-03-10 14:21:59.053803
8096,0.016476965177705007,VAE | s2345,2024-03-10 14:21:59.053803
128000,0.016160601791026234,VAE | s2345,2024-03-10 14:21:59.053803
42,0.0011823886248159329,p_link | s2345,2024-03-10 14:22:06.406071
2024,0.0012750774014778062,p_link | s2345,2024-03-10 14:22:06.406071
4042,0.0011823886248159329,p_link | s2345,2024-03-10 14:22:06.406071
8096,0.0012126791950240697,p_link | s2345,2024-03-10 14:22:06.406071
128000,0.0012566956569426164,p_link | s2345,2024-03-10 14:22:06.406071
42,0.01624253744822994,StandardAE | s2345,2024-03-10 14:22:13.391939
2024,0.01638074362116765,StandardAE | s2345,2024-03-10 14:22:13.391939
4042,0.016114674716510114,StandardAE | s2345,2024-03-10 14:22:13.391939
8096,0.016222887732430233,StandardAE | s2345,2024-03-10 14:22:13.391939
128000,0.0162146359087133,StandardAE | s2345,2024-03-10 14:22:13.391939
42,0.0049395993305903305,no_pareto | s2345,2024-03-10 14:22:20.628793
2024,0.004914897914316269,no_pareto | s2345,2024-03-10 14:22:20.628793
4042,0.004913359797218224,no_pareto | s2345,2024-03-10 14:22:20.628793
8096,0.004992467369058159,no_pareto | s2345,2024-03-10 14:22:20.628793
128000,0.004718586130763741,no_pareto | s2345,2024-03-10 14:22:20.628793
42,0.01529791763458706,pca single_task_stacked | s2345,2024-03-10 14:22:32.589230
2024,0.015465943058172093,pca single_task_stacked | s2345,2024-03-10 14:22:32.589230
4042,0.015622589022021906,pca single_task_stacked | s2345,2024-03-10 14:22:32.589230
8096,0.015569591268710279,pca single_task_stacked | s2345,2024-03-10 14:22:32.589230
128000,0.015400289935835686,pca single_task_stacked | s2345,2024-03-10 14:22:32.589230
42,0.004396692340500348,p_decor | s2345,2024-03-10 14:22:39.039141
2024,0.004240207668993879,p_decor | s2345,2024-03-10 14:22:39.039141
4042,0.004425536768213262,p_decor | s2345,2024-03-10 14:22:39.039141
8096,0.00470060954157992,p_decor | s2345,2024-03-10 14:22:39.039141
128000,0.004806155425113745,p_decor | s2345,2024-03-10 14:22:39.039141
42,0.015787709819320313,p_minsg | s2345,2024-03-10 14:22:45.874487
2024,0.01615780419500095,p_minsg | s2345,2024-03-10 14:22:45.874487
4042,0.015925188652056735,p_minsg | s2345,2024-03-10 14:22:45.874487
8096,0.01590606297600132,p_minsg | s2345,2024-03-10 14:22:45.874487
128000,0.01627880442476806,p_minsg | s2345,2024-03-10 14:22:45.874487
42,0.011762133594205264,p_ming | s2345,2024-03-10 14:22:52.959326
2024,0.01179791791708309,p_ming | s2345,2024-03-10 14:22:52.959326
4042,0.011752211174076222,p_ming | s2345,2024-03-10 14:22:52.959326
8096,0.01188427744669299,p_ming | s2345,2024-03-10 14:22:52.959326
128000,0.011691539551907344,p_ming | s2345,2024-03-10 14:22:52.959326
42,0.002742443708708693,pareto | s2345,2024-03-10 14:23:00.161798
2024,0.002475528730470662,pareto | s2345,2024-03-10 14:23:00.161798
4042,0.0025304694723052574,pareto | s2345,2024-03-10 14:23:00.161798
8096,0.002559746885906199,pareto | s2345,2024-03-10 14:23:00.161798
128000,0.0025477830011283327,pareto | s2345,2024-03-10 14:23:00.161798
42,0.006384366577751014,p_recon | s2345,2024-03-10 14:23:07.496892
2024,0.006959154698360438,p_recon | s2345,2024-03-10 14:23:07.496892
4042,0.006386673036093297,p_recon | s2345,2024-03-10 14:23:07.496892
8096,0.006602987851228234,p_recon | s2345,2024-03-10 14:23:07.496892
128000,0.006401856805167496,p_recon | s2345,2024-03-10 14:23:07.496892
