seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,199,2.961809573475205,0.7702216123701605,3.0274102687835693,0.7037704095190292,VAE | s2345,2024-03-08 13:46:44.653152
2024,validation,off,200,0.001,128,256,195,2.9514286817527244,0.7806710339943344,3.020347833633423,0.7105022291771236,VAE | s2345,2024-03-08 13:46:44.653152
4042,validation,off,200,0.001,128,256,196,2.9445179377781883,0.7877546624173749,3.016860246658325,0.7138090879565384,VAE | s2345,2024-03-08 13:46:44.653152
8096,validation,off,200,0.001,128,256,199,2.9449695764114767,0.7873359301227574,3.0137383937835693,0.7172635743600343,VAE | s2345,2024-03-08 13:46:44.653152
128000,validation,off,200,0.001,128,256,198,2.9385273350759764,0.7937910174693107,3.0103349685668945,0.7207771118131625,VAE | s2345,2024-03-08 13:46:44.653152
42,validation,off,200,0.001,128,256,197,3.0809435009168387,0.6500935434372049,3.091374158859253,0.6395228675189701,p_link | s2345,2024-03-08 14:02:38.984163
2024,validation,off,200,0.001,128,256,192,3.073674885702088,0.6574206208687441,3.085249662399292,0.6455756001062919,p_link | s2345,2024-03-08 14:02:38.984163
4042,validation,off,200,0.001,128,256,198,3.0591282124109602,0.6718038833805476,3.072849750518799,0.6576810652809354,p_link | s2345,2024-03-08 14:02:38.984163
8096,validation,off,200,0.001,128,256,191,3.0655150589118936,0.6653479107648725,3.0772883892059326,0.6538427470548289,p_link | s2345,2024-03-08 14:02:38.984163
128000,validation,off,200,0.001,128,256,198,3.10624977954724,0.6246618271954675,3.1190686225891113,0.6118869762910035,p_link | s2345,2024-03-08 14:02:38.984163
42,validation,off,200,0.001,128,256,0,3.604635561266747,0.1262865911237016,3.604555606842041,0.12639877173816766,StandardAE | s2345,2024-03-08 14:17:49.416525
2024,validation,off,200,0.001,128,256,63,3.6044552116826303,0.1264848914069877,3.604555606842041,0.12639877173816766,StandardAE | s2345,2024-03-08 14:17:49.416525
4042,validation,off,200,0.001,128,256,162,3.569523082351324,0.1614170207743154,3.569627046585083,0.16132746759573652,StandardAE | s2345,2024-03-08 14:17:49.416525
8096,validation,off,200,0.001,128,256,176,3.0733783927247478,0.6575699362606232,3.0820136070251465,0.6488824588857067,StandardAE | s2345,2024-03-08 14:17:49.416525
128000,validation,off,200,0.001,128,256,87,3.569523082351324,0.1614170207743154,3.569627046585083,0.16132746759573652,StandardAE | s2345,2024-03-08 14:17:49.416525
42,validation,off,200,0.001,128,256,196,2.918340851384812,0.8128455500472144,3.006019353866577,0.725353568159674,no_pareto | s2345,2024-03-08 14:34:11.613536
2024,validation,off,200,0.001,128,256,198,2.9238493883801135,0.8073716359773371,3.0112202167510986,0.7196256163453305,no_pareto | s2345,2024-03-08 14:34:11.613536
4042,validation,off,200,0.001,128,256,191,2.920181183009017,0.8110422568460811,3.008753776550293,0.7224010156780537,no_pareto | s2345,2024-03-08 14:34:11.613536
8096,validation,off,200,0.001,128,256,197,2.921195488588443,0.8099766879131256,3.0074234008789062,0.7234344090466208,no_pareto | s2345,2024-03-08 14:34:11.613536
128000,validation,off,200,0.001,128,256,199,2.9255425162310864,0.8057453966005665,3.013613700866699,0.717234048835218,no_pareto | s2345,2024-03-08 14:34:11.613536
42,validation,off,200,0.001,128,256,193,2.8974813746325356,0.8336281279508971,2.9984211921691895,0.7323215920162981,pca single_task_stacked | s2345,2024-03-08 14:50:32.003736
2024,validation,off,200,0.001,128,256,199,2.8981563277240063,0.8328732884796978,2.9991676807403564,0.7317606070447902,pca single_task_stacked | s2345,2024-03-08 14:50:32.003736
4042,validation,off,200,0.001,128,256,199,2.8970613916377284,0.8339249881964117,2.998932123184204,0.7322625409666657,pca single_task_stacked | s2345,2024-03-08 14:50:32.003736
8096,validation,off,200,0.001,128,256,196,2.8958377322574287,0.8352422686496694,2.9965732097625732,0.734772210576043,pca single_task_stacked | s2345,2024-03-08 14:50:32.003736
128000,validation,off,200,0.001,128,256,197,2.897491416579941,0.8335428470254957,2.999924659729004,0.7310224689243852,pca single_task_stacked | s2345,2024-03-08 14:50:32.003736
42,validation,off,200,0.001,128,256,180,3.5695115738707517,0.16142852927289897,3.569627046585083,0.16132746759573652,p_decor | s2345,2024-03-08 15:06:20.491721
2024,validation,off,200,0.001,128,256,193,3.382288547593316,0.34897043201133143,3.380336284637451,0.3508222858661313,p_decor | s2345,2024-03-08 15:06:20.491721
4042,validation,off,200,0.001,128,256,189,3.3807820244934113,0.35053027620396604,3.3843259811401367,0.3462163039948035,p_decor | s2345,2024-03-08 15:06:20.491721
8096,validation,off,200,0.001,128,256,199,3.382313279187038,0.3490400731822474,3.3881547451019287,0.3426732410168591,p_decor | s2345,2024-03-08 15:06:20.491721
