seed,nmi,tensor_label,export_time
42,0.3993790376123575,VAE | s2345,2024-03-10 13:04:16.560419
2024,0.4022520748780075,VAE | s2345,2024-03-10 13:04:16.560419
4042,0.4005578574925118,VAE | s2345,2024-03-10 13:04:16.560419
8096,0.39472048359082773,VAE | s2345,2024-03-10 13:04:16.560419
128000,0.39537727539327305,VAE | s2345,2024-03-10 13:04:16.560419
42,0.3456915694856617,p_link | s2345,2024-03-10 13:19:02.485418
2024,0.3456778071165954,p_link | s2345,2024-03-10 13:19:02.485418
4042,0.34605457116208754,p_link | s2345,2024-03-10 13:19:02.485418
8096,0.3459100835236141,p_link | s2345,2024-03-10 13:19:02.485418
128000,0.34532540164928593,p_link | s2345,2024-03-10 13:19:02.485418
42,0.42453420307911127,StandardAE | s2345,2024-03-10 13:25:17.571647
2024,0.4221701950912644,StandardAE | s2345,2024-03-10 13:25:17.571647
4042,0.42880011874207646,StandardAE | s2345,2024-03-10 13:25:17.571647
8096,0.4196711422497894,StandardAE | s2345,2024-03-10 13:25:17.571647
128000,0.42469714683327614,StandardAE | s2345,2024-03-10 13:25:17.571647
42,0.42743076305873756,no_pareto | s2345,2024-03-10 13:31:04.575106
2024,0.42597083194848295,no_pareto | s2345,2024-03-10 13:31:04.575106
4042,0.4299843474884288,no_pareto | s2345,2024-03-10 13:31:04.575106
8096,0.4254842160647769,no_pareto | s2345,2024-03-10 13:31:04.575106
128000,0.4233879854462538,no_pareto | s2345,2024-03-10 13:31:04.575106
42,0.43917644833477765,pca single_task_stacked | s2345,2024-03-10 13:36:53.271808
2024,0.4405832751754291,pca single_task_stacked | s2345,2024-03-10 13:36:53.271808
4042,0.4389245679316725,pca single_task_stacked | s2345,2024-03-10 13:36:53.271808
8096,0.43932693475338375,pca single_task_stacked | s2345,2024-03-10 13:36:53.271808
128000,0.44016233274437094,pca single_task_stacked | s2345,2024-03-10 13:36:53.271808
42,0.21821341225706511,p_decor | s2345,2024-03-10 13:43:43.643012
2024,0.2342662823799774,p_decor | s2345,2024-03-10 13:43:43.643012
4042,0.2297027185698954,p_decor | s2345,2024-03-10 13:43:43.643012
8096,0.22737035609816642,p_decor | s2345,2024-03-10 13:43:43.643012
128000,0.22330611154382385,p_decor | s2345,2024-03-10 13:43:43.643012
42,0.31744195800095626,p_minsg | s2345,2024-03-10 13:55:45.062712
2024,0.3198377244104495,p_minsg | s2345,2024-03-10 13:55:45.062712
4042,0.31806872595452934,p_minsg | s2345,2024-03-10 13:55:45.062712
8096,0.32006658695069773,p_minsg | s2345,2024-03-10 13:55:45.062712
128000,0.31957907764017246,p_minsg | s2345,2024-03-10 13:55:45.062712
42,0.4224255401902887,p_ming | s2345,2024-03-10 14:08:02.595675
2024,0.42538831029616614,p_ming | s2345,2024-03-10 14:08:02.595675
4042,0.42292274247536565,p_ming | s2345,2024-03-10 14:08:02.595675
8096,0.421127733805563,p_ming | s2345,2024-03-10 14:08:02.595675
128000,0.42238428191967525,p_ming | s2345,2024-03-10 14:08:02.595675
42,0.4283277600693829,pareto | s2345,2024-03-10 14:13:33.235583
2024,0.43112251505538696,pareto | s2345,2024-03-10 14:13:33.235583
4042,0.43074143081681776,pareto | s2345,2024-03-10 14:13:33.235583
8096,0.429996707427414,pareto | s2345,2024-03-10 14:13:33.235583
128000,0.43012333086491045,pareto | s2345,2024-03-10 14:13:33.235583
42,0.4396831151731431,p_recon | s2345,2024-03-10 14:18:27.380220
2024,0.4377421477335574,p_recon | s2345,2024-03-10 14:18:27.380220
4042,0.4380290645310802,p_recon | s2345,2024-03-10 14:18:27.380220
8096,0.4377940782002738,p_recon | s2345,2024-03-10 14:18:27.380220
128000,0.4380524723664588,p_recon | s2345,2024-03-10 14:18:27.380220
