seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,190,1.4967706600824993,0.9651041666666667,1.5526399612426758,0.9100877192982456,VAE | s2345,2024-03-08 19:31:19.843659
2024,validation,off,200,0.001,128,256,188,1.495666797955831,0.965625,1.5764216184616089,0.881578947368421,VAE | s2345,2024-03-08 19:31:19.843659
4042,validation,off,200,0.001,128,256,189,1.5044007460276285,0.9572916666666667,1.5543700456619263,0.9057017543859649,VAE | s2345,2024-03-08 19:31:19.843659
8096,validation,off,200,0.001,128,256,193,1.497950585683187,0.9635416666666666,1.5540391206741333,0.9122807017543859,VAE | s2345,2024-03-08 19:31:19.843659
128000,validation,off,200,0.001,128,256,177,1.499816393852234,0.9614583333333333,1.575682282447815,0.8837719298245614,VAE | s2345,2024-03-08 19:31:19.843659
42,validation,off,200,0.001,128,256,190,1.5835802793502807,0.8825969827586206,1.637173056602478,0.8267543859649122,p_link | s2345,2024-03-08 19:31:32.905277
2024,validation,off,200,0.001,128,256,177,1.580438987414042,0.886242816091954,1.6441478729248047,0.8135964912280702,p_link | s2345,2024-03-08 19:31:32.905277
4042,validation,off,200,0.001,128,256,194,1.5814321200052897,0.8807291666666667,1.6165848970413208,0.8421052631578947,p_link | s2345,2024-03-08 19:31:32.905277
8096,validation,off,200,0.001,128,256,191,1.5911552985509236,0.8765625,1.614898920059204,0.8464912280701754,p_link | s2345,2024-03-08 19:31:32.905277
128000,validation,off,200,0.001,128,256,194,1.5810206651687622,0.8841594827586207,1.646342396736145,0.8179824561403509,p_link | s2345,2024-03-08 19:31:32.905277
42,validation,off,200,0.001,128,256,190,1.5077218532562255,0.9536458333333333,1.5530548095703125,0.9122807017543859,StandardAE | s2345,2024-03-08 19:31:45.398877
2024,validation,off,200,0.001,128,256,193,1.5023894945780436,0.959375,1.5708149671554565,0.8925438596491229,StandardAE | s2345,2024-03-08 19:31:45.398877
4042,validation,off,200,0.001,128,256,153,1.5107955773671469,0.9510416666666667,1.556512713432312,0.9100877192982456,StandardAE | s2345,2024-03-08 19:31:45.398877
8096,validation,off,200,0.001,128,256,193,1.5064525842666625,0.9557291666666666,1.5446242094039917,0.918859649122807,StandardAE | s2345,2024-03-08 19:31:45.398877
128000,validation,off,200,0.001,128,256,174,1.5036686817804972,0.9583333333333334,1.5780607461929321,0.881578947368421,StandardAE | s2345,2024-03-08 19:31:45.398877
42,validation,off,200,0.001,128,256,199,1.5024501959482828,0.9588541666666667,1.5589317083358765,0.9035087719298246,no_pareto | s2345,2024-03-08 19:31:57.992189
2024,validation,off,200,0.001,128,256,185,1.4972919940948486,0.9645833333333333,1.5771211385726929,0.8837719298245614,no_pareto | s2345,2024-03-08 19:31:57.992189
4042,validation,off,200,0.001,128,256,194,1.5026177644729615,0.9588541666666667,1.566849946975708,0.8947368421052632,no_pareto | s2345,2024-03-08 19:31:57.992189
8096,validation,off,200,0.001,128,256,192,1.4987446943918863,0.9625,1.5600438117980957,0.9013157894736842,no_pareto | s2345,2024-03-08 19:31:57.992189
128000,validation,off,200,0.001,128,256,172,1.4998801310857137,0.9619791666666667,1.5866081714630127,0.875,no_pareto | s2345,2024-03-08 19:31:57.992189
42,validation,off,200,0.001,128,256,169,1.4889789740244548,0.9723958333333333,1.5424137115478516,0.918859649122807,pca single_task_stacked | s2345,2024-03-08 19:32:11.564760
2024,validation,off,200,0.001,128,256,166,1.489115063349406,0.9723958333333333,1.566815733909607,0.8947368421052632,pca single_task_stacked | s2345,2024-03-08 19:32:11.564760
4042,validation,off,200,0.001,128,256,199,1.4923595507939658,0.9692708333333333,1.555016040802002,0.9078947368421053,pca single_task_stacked | s2345,2024-03-08 19:32:11.564760
8096,validation,off,200,0.001,128,256,93,1.4905757904052734,0.971875,1.5475608110427856,0.9166666666666666,pca single_task_stacked | s2345,2024-03-08 19:32:11.564760
128000,validation,off,200,0.001,128,256,188,1.4893871943155925,0.971875,1.5651519298553467,0.8947368421052632,pca single_task_stacked | s2345,2024-03-08 19:32:11.564760
42,validation,off,200,0.001,128,256,197,1.5146137714385985,0.9479166666666666,1.583612322807312,0.875,p_decor | s2345,2024-03-08 19:32:24.598059
2024,validation,off,200,0.001,128,256,198,1.5132675011952719,0.9489583333333333,1.6060296297073364,0.8574561403508771,p_decor | s2345,2024-03-08 19:32:24.598059
4042,validation,off,200,0.001,128,256,194,1.5164512793223064,0.9463541666666667,1.6168608665466309,0.8464912280701754,p_decor | s2345,2024-03-08 19:32:24.598059
8096,validation,off,200,0.001,128,256,196,1.5147257010142008,0.9479166666666666,1.6007007360458374,0.8618421052631579,p_decor | s2345,2024-03-08 19:32:24.598059
128000,validation,off,200,0.001,128,256,187,1.5099907239278159,0.9526041666666667,1.6053377389907837,0.8596491228070176,p_decor | s2345,2024-03-08 19:32:24.598059
42,validation,off,200,0.001,128,256,187,1.5252725680669148,0.9364583333333333,1.5995614528656006,0.8640350877192983,p_minsg | s2345,2024-03-08 19:32:37.203008
2024,validation,off,200,0.001,128,256,185,1.5196259578069051,0.9416666666666667,1.6209099292755127,0.8421052631578947,p_minsg | s2345,2024-03-08 19:32:37.203008
4042,validation,off,200,0.001,128,256,194,1.5231695413589477,0.9385416666666667,1.573432207107544,0.8903508771929824,p_minsg | s2345,2024-03-08 19:32:37.203008
