seed,nmi,tensor_label,export_time
42,0.15771199899903376,VAE | s2345,2024-03-10 14:20:59.326746
2024,0.15219658146909315,VAE | s2345,2024-03-10 14:20:59.326746
4042,0.1593511109344579,VAE | s2345,2024-03-10 14:20:59.326746
8096,0.15636768960931124,VAE | s2345,2024-03-10 14:20:59.326746
128000,0.1429734265811434,VAE | s2345,2024-03-10 14:20:59.326746
42,0.08601751766405362,p_link | s2345,2024-03-10 14:21:05.005309
2024,0.08601751766405359,p_link | s2345,2024-03-10 14:21:05.005309
4042,0.08601751766405365,p_link | s2345,2024-03-10 14:21:05.005309
8096,0.08569394602903069,p_link | s2345,2024-03-10 14:21:05.005309
128000,0.08601751766405362,p_link | s2345,2024-03-10 14:21:05.005309
42,0.14022982104711337,StandardAE | s2345,2024-03-10 14:21:10.867040
2024,0.16074145410426252,StandardAE | s2345,2024-03-10 14:21:10.867040
4042,0.13677254101347835,StandardAE | s2345,2024-03-10 14:21:10.867040
8096,0.13295410307571162,StandardAE | s2345,2024-03-10 14:21:10.867040
128000,0.16174902668610436,StandardAE | s2345,2024-03-10 14:21:10.867040
42,0.11913478502618258,no_pareto | s2345,2024-03-10 14:21:16.686104
2024,0.128398691994844,no_pareto | s2345,2024-03-10 14:21:16.686104
4042,0.1218621182585667,no_pareto | s2345,2024-03-10 14:21:16.686104
8096,0.10986494852359112,no_pareto | s2345,2024-03-10 14:21:16.686104
128000,0.1160872883989703,no_pareto | s2345,2024-03-10 14:21:16.686104
42,0.1513955152586171,pca single_task_stacked | s2345,2024-03-10 14:21:23.025786
2024,0.1445425959677511,pca single_task_stacked | s2345,2024-03-10 14:21:23.025786
4042,0.14405681169776688,pca single_task_stacked | s2345,2024-03-10 14:21:23.025786
8096,0.14551789716582328,pca single_task_stacked | s2345,2024-03-10 14:21:23.025786
128000,0.14506560364792756,pca single_task_stacked | s2345,2024-03-10 14:21:23.025786
42,0.06155721475232519,p_decor | s2345,2024-03-10 14:21:28.830930
2024,0.07789178892720255,p_decor | s2345,2024-03-10 14:21:28.830930
4042,0.0729030922278552,p_decor | s2345,2024-03-10 14:21:28.830930
8096,0.06454114135490994,p_decor | s2345,2024-03-10 14:21:28.830930
128000,0.07196555948426159,p_decor | s2345,2024-03-10 14:21:28.830930
42,0.13601645176883392,p_minsg | s2345,2024-03-10 14:21:34.521271
2024,0.13601645176883384,p_minsg | s2345,2024-03-10 14:21:34.521271
4042,0.13601645176883392,p_minsg | s2345,2024-03-10 14:21:34.521271
8096,0.13597477138511752,p_minsg | s2345,2024-03-10 14:21:34.521271
128000,0.13585585436062383,p_minsg | s2345,2024-03-10 14:21:34.521271
42,0.137039214052034,p_ming | s2345,2024-03-10 14:21:40.274854
2024,0.137039214052034,p_ming | s2345,2024-03-10 14:21:40.274854
4042,0.13558981863234948,p_ming | s2345,2024-03-10 14:21:40.274854
8096,0.137039214052034,p_ming | s2345,2024-03-10 14:21:40.274854
128000,0.137039214052034,p_ming | s2345,2024-03-10 14:21:40.274854
42,0.12541484862133612,pareto | s2345,2024-03-10 14:21:45.970526
2024,0.15246952439192707,pareto | s2345,2024-03-10 14:21:45.970526
4042,0.12364641977142632,pareto | s2345,2024-03-10 14:21:45.970526
8096,0.15376936331977686,pareto | s2345,2024-03-10 14:21:45.970526
128000,0.1133704523601594,pareto | s2345,2024-03-10 14:21:45.970526
42,0.15549803545633292,p_recon | s2345,2024-03-10 14:21:51.623439
2024,0.15634403540228436,p_recon | s2345,2024-03-10 14:21:51.623439
4042,0.15592637951266863,p_recon | s2345,2024-03-10 14:21:51.623439
8096,0.15634403540228436,p_recon | s2345,2024-03-10 14:21:51.623439
128000,0.15634403540228436,p_recon | s2345,2024-03-10 14:21:51.623439
