seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,199,1.5223452407260274,0.9386336608687296,1.5817694664001465,0.8796801163213377,VAE | s2345,2024-03-08 12:02:26.927061
2024,validation,off,200,0.001,128,256,198,1.5236798829810565,0.9372011940226793,1.5753659009933472,0.8851326790258088,VAE | s2345,2024-03-08 12:02:26.927061
4042,validation,off,200,0.001,128,256,199,1.5251373510028041,0.9358438040553526,1.5810637474060059,0.88113413304253,VAE | s2345,2024-03-08 12:02:26.927061
8096,validation,off,200,0.001,128,256,197,1.5200949255810228,0.9408349149529118,1.58676278591156,0.8745910577971646,VAE | s2345,2024-03-08 12:02:26.927061
128000,validation,off,200,0.001,128,256,198,1.523725405681965,0.9373303262540843,1.5779107809066772,0.8851326790258088,VAE | s2345,2024-03-08 12:02:26.927061
42,validation,off,200,0.001,128,256,198,1.6104776831560357,0.8535625480492024,1.6303517818450928,0.8298800436205016,p_link | s2345,2024-03-08 12:03:41.608465
2024,validation,off,200,0.001,128,256,195,1.609544248081917,0.8546789412358254,1.6290279626846313,0.8338785896037805,p_link | s2345,2024-03-08 12:03:41.608465
4042,validation,off,200,0.001,128,256,196,1.6080747995265694,0.8555768607053623,1.6497052907943726,0.812068338785896,p_link | s2345,2024-03-08 12:03:41.608465
8096,validation,off,200,0.001,128,256,196,1.6056412333665893,0.8588366987795503,1.6401610374450684,0.8211559432933478,p_link | s2345,2024-03-08 12:03:41.608465
128000,validation,off,200,0.001,128,256,199,1.6106193855751392,0.8521893919373439,1.6337370872497559,0.8280625227190113,p_link | s2345,2024-03-08 12:03:41.608465
42,validation,off,200,0.001,128,256,195,1.5212448280911113,0.939905463194311,1.577392339706421,0.8829516539440203,StandardAE | s2345,2024-03-08 12:04:52.975256
2024,validation,off,200,0.001,128,256,193,1.5193144637484883,0.9419895973476841,1.5629138946533203,0.8985823336968375,StandardAE | s2345,2024-03-08 12:04:52.975256
4042,validation,off,200,0.001,128,256,192,1.520248293876648,0.9410916778781473,1.5745230913162231,0.886223191566703,StandardAE | s2345,2024-03-08 12:04:52.975256
8096,validation,off,200,0.001,128,256,188,1.5171494899794113,0.9441908514318663,1.5830073356628418,0.8774990912395493,StandardAE | s2345,2024-03-08 12:04:52.975256
128000,validation,off,200,0.001,128,256,187,1.5185666957566903,0.9427110861522199,1.5760167837142944,0.8844056706652127,StandardAE | s2345,2024-03-08 12:04:52.975256
42,validation,off,200,0.001,128,256,190,1.5246345151302427,0.9365337605708245,1.571209192276001,0.8894947291893857,no_pareto | s2345,2024-03-08 12:06:05.784496
2024,validation,off,200,0.001,128,256,195,1.521139828271644,0.9400015615990774,1.5648778676986694,0.8964013086150491,no_pareto | s2345,2024-03-08 12:06:05.784496
4042,validation,off,200,0.001,128,256,189,1.5244654846745869,0.9363730960503556,1.5800886154174805,0.8800436205016358,no_pareto | s2345,2024-03-08 12:06:05.784496
8096,validation,off,200,0.001,128,256,188,1.5179114826889926,0.9433627534595426,1.5749492645263672,0.8854961832061069,no_pareto | s2345,2024-03-08 12:06:05.784496
128000,validation,off,200,0.001,128,256,199,1.5255269366641377,0.9354436442917548,1.5764130353927612,0.8844056706652127,no_pareto | s2345,2024-03-08 12:06:05.784496
42,validation,off,200,0.001,128,256,187,1.4967159601145013,0.9643685133576781,1.5662122964859009,0.8927662668120684,pca single_task_stacked | s2345,2024-03-08 12:07:19.546615
2024,validation,off,200,0.001,128,256,159,1.4997382843217184,0.9612798505669805,1.5538408756256104,0.905852417302799,pca single_task_stacked | s2345,2024-03-08 12:07:19.546615
4042,validation,off,200,0.001,128,256,199,1.499202570249868,0.9618249087065154,1.5606012344360352,0.9003998545983278,pca single_task_stacked | s2345,2024-03-08 12:07:19.546615
8096,validation,off,200,0.001,128,256,174,1.50939176664796,0.9511910196040746,1.5772937536239624,0.8833151581243184,pca single_task_stacked | s2345,2024-03-08 12:07:19.546615
128000,validation,off,200,0.001,128,256,189,1.5004819853361262,0.9605425956179128,1.5598037242889404,0.9003998545983278,pca single_task_stacked | s2345,2024-03-08 12:07:19.546615
42,validation,off,200,0.001,128,256,199,1.670639107393664,0.7962683788199115,1.7037988901138306,0.7600872410032715,p_decor | s2345,2024-03-08 12:08:35.727377
2024,validation,off,200,0.001,128,256,199,1.6724565625190735,0.7925543256294446,1.6933927536010742,0.7695383496910214,p_decor | s2345,2024-03-08 12:08:35.727377
4042,validation,off,200,0.001,128,256,199,1.669184375640958,0.7955363792523543,1.6988445520401,0.7611777535441657,p_decor | s2345,2024-03-08 12:08:35.727377
8096,validation,off,200,0.001,128,256,198,1.6687471991361573,0.7943486630309438,1.7068232297897339,0.75281715739731,p_decor | s2345,2024-03-08 12:08:35.727377
128000,validation,off,200,0.001,128,256,199,1.6708156133806982,0.793649697290025,1.6931098699569702,0.7757179207560887,p_decor | s2345,2024-03-08 12:08:35.727377
42,validation,off,200,0.001,128,256,182,1.5317914818608485,0.9315636711993082,1.6146667003631592,0.8480552526354053,p_minsg | s2345,2024-03-08 12:09:48.892092
2024,validation,off,200,0.001,128,256,185,1.5314109561055205,0.9309713146261772,1.5911837816238403,0.8716830243547801,p_minsg | s2345,2024-03-08 12:09:48.892092
4042,validation,off,200,0.001,128,256,183,1.534308020458665,0.928448731501057,1.6079028844833374,0.8542348237004725,p_minsg | s2345,2024-03-08 12:09:48.892092
8096,validation,off,200,0.001,128,256,195,1.52982766822327,0.9334661193061695,1.6100999116897583,0.851326790258088,p_minsg | s2345,2024-03-08 12:09:48.892092
128000,validation,off,200,0.001,128,256,196,1.534015956313111,0.9288383805016337,1.6016435623168945,0.8622319156670302,p_minsg | s2345,2024-03-08 12:09:48.892092
42,validation,off,200,0.001,128,256,193,1.5344312856363695,0.9284277099750144,1.5994384288787842,0.8622319156670302,p_ming | s2345,2024-03-08 12:11:02.132184
2024,validation,off,200,0.001,128,256,189,1.5354880427205286,0.9271979507015184,1.5841689109802246,0.8774990912395493,p_ming | s2345,2024-03-08 12:11:02.132184
4042,validation,off,200,0.001,128,256,178,1.5674872994422913,0.8946551268498942,1.6217082738876343,0.8386041439476554,p_ming | s2345,2024-03-08 12:11:02.132184
8096,validation,off,200,0.001,128,256,191,1.5353355255237846,0.9271018522967519,1.593781590461731,0.8655034532897128,p_ming | s2345,2024-03-08 12:11:02.132184
128000,validation,off,200,0.001,128,256,187,1.5354333935781967,0.9271979507015184,1.5863367319107056,0.8731370410759723,p_ming | s2345,2024-03-08 12:11:02.132184
42,validation,off,200,0.001,128,256,194,1.5163376151129258,0.9447359095714012,1.5710259675979614,0.8898582333696837,pareto | s2345,2024-03-08 12:12:14.345083
2024,validation,off,200,0.001,128,256,192,1.5222248698389806,0.9390022883432635,1.5694408416748047,0.891312250090876,pareto | s2345,2024-03-08 12:12:14.345083
4042,validation,off,200,0.001,128,256,199,1.515549753987512,0.9454679091389584,1.5729364156723022,0.8865866957470011,pareto | s2345,2024-03-08 12:12:14.345083
8096,validation,off,200,0.001,128,256,190,1.515203833580017,0.945750948971747,1.5744259357452393,0.8876772082878953,pareto | s2345,2024-03-08 12:12:14.345083
128000,validation,off,200,0.001,128,256,199,1.5155032221661058,0.9455640075437247,1.5596562623977661,0.9018538713195202,pareto | s2345,2024-03-08 12:12:14.345083
42,validation,off,200,0.001,128,256,197,1.5206382052842962,0.9409152472131463,1.5839897394180298,0.8767720828789531,p_recon | s2345,2024-03-08 12:13:27.073340
2024,validation,off,200,0.001,128,256,194,1.526437599991643,0.934737921631751,1.572440266609192,0.8880407124681934,p_recon | s2345,2024-03-08 12:13:27.073340
4042,validation,off,200,0.001,128,256,195,1.526848245498746,0.9341876081107053,1.5872021913528442,0.8731370410759723,p_recon | s2345,2024-03-08 12:13:27.073340
8096,validation,off,200,0.001,128,256,197,1.5255629461865092,0.9357529610320968,1.591725468635559,0.8702290076335878,p_recon | s2345,2024-03-08 12:13:27.073340
