seed,nmi,tensor_label,export_time
42,0.4594637993793773,VAE | s2345,2024-03-10 12:54:00.568207
2024,0.45929407257591975,VAE | s2345,2024-03-10 12:54:00.568207
4042,0.4673070119331153,VAE | s2345,2024-03-10 12:54:00.568207
8096,0.471562762565488,VAE | s2345,2024-03-10 12:54:00.568207
128000,0.4715816817211816,VAE | s2345,2024-03-10 12:54:00.568207
42,0.43513553079050904,p_link | s2345,2024-03-10 12:54:09.379708
2024,0.43874740544336716,p_link | s2345,2024-03-10 12:54:09.379708
4042,0.43715978948324913,p_link | s2345,2024-03-10 12:54:09.379708
8096,0.43519803317620515,p_link | s2345,2024-03-10 12:54:09.379708
128000,0.43742794197810164,p_link | s2345,2024-03-10 12:54:09.379708
42,0.4705717728160134,StandardAE | s2345,2024-03-10 12:54:18.136115
2024,0.47199577589650216,StandardAE | s2345,2024-03-10 12:54:18.136115
4042,0.4710958753566653,StandardAE | s2345,2024-03-10 12:54:18.136115
8096,0.47828155665885985,StandardAE | s2345,2024-03-10 12:54:18.136115
128000,0.4785778346190619,StandardAE | s2345,2024-03-10 12:54:18.136115
42,0.4396741578372727,no_pareto | s2345,2024-03-10 12:54:26.470691
2024,0.44771250413793234,no_pareto | s2345,2024-03-10 12:54:26.470691
4042,0.4396582910195456,no_pareto | s2345,2024-03-10 12:54:26.470691
8096,0.4399382622655321,no_pareto | s2345,2024-03-10 12:54:26.470691
128000,0.4453201382541621,no_pareto | s2345,2024-03-10 12:54:26.470691
42,0.3411712007053666,pca single_task_stacked | s2345,2024-03-10 12:54:36.710293
2024,0.3414096891949688,pca single_task_stacked | s2345,2024-03-10 12:54:36.710293
4042,0.34132998485089866,pca single_task_stacked | s2345,2024-03-10 12:54:36.710293
8096,0.34141264781086433,pca single_task_stacked | s2345,2024-03-10 12:54:36.710293
128000,0.3417309231360782,pca single_task_stacked | s2345,2024-03-10 12:54:36.710293
42,0.14794113656654428,p_decor | s2345,2024-03-10 12:54:44.843876
2024,0.16711036809751048,p_decor | s2345,2024-03-10 12:54:44.843876
4042,0.1707737674314589,p_decor | s2345,2024-03-10 12:54:44.843876
8096,0.18362222822258342,p_decor | s2345,2024-03-10 12:54:44.843876
128000,0.1755886833243969,p_decor | s2345,2024-03-10 12:54:44.843876
42,0.09031077280883579,p_minsg | s2345,2024-03-10 12:54:54.869317
2024,0.08930405889019354,p_minsg | s2345,2024-03-10 12:54:54.869317
4042,0.08930524456525062,p_minsg | s2345,2024-03-10 12:54:54.869317
8096,0.09003512306055618,p_minsg | s2345,2024-03-10 12:54:54.869317
128000,0.09142264952419997,p_minsg | s2345,2024-03-10 12:54:54.869317
42,0.4526762583905228,p_ming | s2345,2024-03-10 12:55:04.025431
2024,0.45274441815266464,p_ming | s2345,2024-03-10 12:55:04.025431
4042,0.45274441815266453,p_ming | s2345,2024-03-10 12:55:04.025431
8096,0.4526762583905227,p_ming | s2345,2024-03-10 12:55:04.025431
128000,0.4526365472773278,p_ming | s2345,2024-03-10 12:55:04.025431
42,0.44873654876783375,pareto | s2345,2024-03-10 12:55:12.980618
2024,0.44373749328154377,pareto | s2345,2024-03-10 12:55:12.980618
4042,0.45316332362004974,pareto | s2345,2024-03-10 12:55:12.980618
8096,0.4417364311030049,pareto | s2345,2024-03-10 12:55:12.980618
128000,0.443298684290739,pareto | s2345,2024-03-10 12:55:12.980618
42,0.3983217068738902,p_recon | s2345,2024-03-10 12:55:22.766993
2024,0.3973703752552679,p_recon | s2345,2024-03-10 12:55:22.766993
4042,0.39758758736887195,p_recon | s2345,2024-03-10 12:55:22.766993
8096,0.3982157190634279,p_recon | s2345,2024-03-10 12:55:22.766993
128000,0.39799269443089147,p_recon | s2345,2024-03-10 12:55:22.766993
