seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,197,1.8404062405876491,0.9760190217391305,1.8913066387176514,0.9252795200436323,VAE | s2345,2024-03-08 18:56:48.531982
2024,validation,off,200,0.001,128,256,193,1.8398051479588384,0.9766304347826087,1.8919016122817993,0.9244614125988546,VAE | s2345,2024-03-08 18:56:48.531982
4042,validation,off,200,0.001,128,256,193,1.8403538714284482,0.9760869565217392,1.8891301155090332,0.9277338423779656,VAE | s2345,2024-03-08 18:56:48.531982
8096,validation,off,200,0.001,128,256,199,1.8402585630831512,0.9761548913043478,1.8947303295135498,0.9230979001908918,VAE | s2345,2024-03-08 18:56:48.531982
128000,validation,off,200,0.001,128,256,195,1.8393721528675244,0.9770380434782608,1.8931607007980347,0.9239160076356695,VAE | s2345,2024-03-08 18:56:48.531982
42,validation,off,200,0.001,128,256,196,1.931741215871728,0.8865599294947121,1.953278660774231,0.8636487592037088,p_link | s2345,2024-03-08 18:58:31.260045
2024,validation,off,200,0.001,128,256,199,1.9310798779777858,0.8867453730904817,1.9615947008132935,0.8541041723479683,p_link | s2345,2024-03-08 18:58:31.260045
4042,validation,off,200,0.001,128,256,199,1.9312980869541998,0.8866223560517039,1.9613397121429443,0.8551949822743387,p_link | s2345,2024-03-08 18:58:31.260045
8096,validation,off,200,0.001,128,256,194,1.9318297956300818,0.8861706815511162,1.9637601375579834,0.8535587673847832,p_link | s2345,2024-03-08 18:58:31.260045
128000,validation,off,200,0.001,128,256,194,1.93197297324305,0.8855096944770858,1.9577300548553467,0.8587401145350423,p_link | s2345,2024-03-08 18:58:31.260045
42,validation,off,200,0.001,128,256,198,1.8411798902179883,0.9753580346650998,1.8848053216934204,0.9323697845650395,StandardAE | s2345,2024-03-08 19:00:09.028215
2024,validation,off,200,0.001,128,256,193,1.8407718616983164,0.9757472826086957,1.8961454629898071,0.9209162803381511,StandardAE | s2345,2024-03-08 19:00:09.028215
4042,validation,off,200,0.001,128,256,185,1.8413171705992326,0.9752221650998825,1.8933578729629517,0.9225524952277065,StandardAE | s2345,2024-03-08 19:00:09.028215
8096,validation,off,200,0.001,128,256,186,1.841832745593527,0.974882491186839,1.89610755443573,0.9203708753749659,StandardAE | s2345,2024-03-08 19:00:09.028215
128000,validation,off,200,0.001,128,256,186,1.8407944378645524,0.9759694477085781,1.8955552577972412,0.9209162803381511,StandardAE | s2345,2024-03-08 19:00:09.028215
42,validation,off,200,0.001,128,256,177,1.8421840906143188,0.9742527173913044,1.891868233680725,0.9250068175620398,no_pareto | s2345,2024-03-08 19:01:49.572369
2024,validation,off,200,0.001,128,256,195,1.8434355331503827,0.9730298913043478,1.8959711790084839,0.9200981728933734,no_pareto | s2345,2024-03-08 19:01:49.572369
4042,validation,off,200,0.001,128,256,192,1.8437523769295734,0.9727085781433608,1.8931695222854614,0.9233706026724843,no_pareto | s2345,2024-03-08 19:01:49.572369
8096,validation,off,200,0.001,128,256,161,1.842860978582631,0.9735733695652173,1.8954888582229614,0.9203708753749659,no_pareto | s2345,2024-03-08 19:01:49.572369
128000,validation,off,200,0.001,128,256,185,1.8425953999809597,0.9738451086956522,1.8921842575073242,0.9241887101172621,no_pareto | s2345,2024-03-08 19:01:49.572369
42,validation,off,200,0.001,128,256,139,1.8381292851074882,0.9783288043478261,1.887508749961853,0.9282792473411509,pca single_task_stacked | s2345,2024-03-08 19:03:29.194572
2024,validation,off,200,0.001,128,256,193,1.8373446309048196,0.9791440217391304,1.8951218128204346,0.9220070902645214,pca single_task_stacked | s2345,2024-03-08 19:03:29.194572
4042,validation,off,200,0.001,128,256,153,1.837177318075429,0.9792982520564042,1.8892605304718018,0.9266430324515953,pca single_task_stacked | s2345,2024-03-08 19:03:29.194572
8096,validation,off,200,0.001,128,256,98,1.8376444536706675,0.9788227085781434,1.8912780284881592,0.925552222525225,pca single_task_stacked | s2345,2024-03-08 19:03:29.194572
128000,validation,off,200,0.001,128,256,87,1.8373647140420002,0.9790760869565217,1.8950172662734985,0.9209162803381511,pca single_task_stacked | s2345,2024-03-08 19:03:29.194572
42,validation,off,200,0.001,128,256,199,2.3811386046202285,0.43720806404230317,2.4345543384552,0.3771475320425416,p_decor | s2345,2024-03-08 19:05:14.592040
2024,validation,off,200,0.001,128,256,199,2.401197350543478,0.4151733254994125,2.4502036571502686,0.36378511044450507,p_decor | s2345,2024-03-08 19:05:14.592040
4042,validation,off,200,0.001,128,256,195,2.3714095385178275,0.44759106933019976,2.425440788269043,0.38860103626943004,p_decor | s2345,2024-03-08 19:05:14.592040
8096,validation,off,200,0.001,128,256,199,2.357118743398915,0.4616535693301998,2.4246599674224854,0.38941914371420777,p_decor | s2345,2024-03-08 19:05:14.592040
128000,validation,off,200,0.001,128,256,199,2.3508730515189793,0.46839196533490013,2.415558099746704,0.39841832560676305,p_decor | s2345,2024-03-08 19:05:14.592040
42,validation,off,200,0.001,128,256,192,1.8516635324644006,0.9650503084606346,1.9522358179092407,0.8655576765748568,p_minsg | s2345,2024-03-08 19:06:57.549332
2024,validation,off,200,0.001,128,256,187,1.8482803738635518,0.968632491186839,1.967816710472107,0.8486501227161167,p_minsg | s2345,2024-03-08 19:06:57.549332
4042,validation,off,200,0.001,128,256,184,1.8522593715916509,0.9645068301997649,1.9622622728347778,0.8551949822743387,p_minsg | s2345,2024-03-08 19:06:57.549332
8096,validation,off,200,0.001,128,256,198,1.8477837479632833,0.9688858695652174,1.9537404775619507,0.8652849740932642,p_minsg | s2345,2024-03-08 19:06:57.549332
128000,validation,off,200,0.001,128,256,190,1.850194175347038,0.966834973560517,1.9624804258346558,0.8538314698663758,p_minsg | s2345,2024-03-08 19:06:57.549332
42,validation,off,200,0.001,128,256,194,1.8492967242779939,0.9670883519388954,1.8974374532699585,0.9192800654485955,p_ming | s2345,2024-03-08 19:08:37.034293
2024,validation,off,200,0.001,128,256,199,1.846676230430603,0.9697378084606345,1.9048242568969727,0.9119170984455959,p_ming | s2345,2024-03-08 19:08:37.034293
4042,validation,off,200,0.001,128,256,132,1.8487436450046042,0.9676630434782608,1.9048572778701782,0.9116443959640033,p_ming | s2345,2024-03-08 19:08:37.034293
8096,validation,off,200,0.001,128,256,197,1.8473431017087854,0.9690896739130435,1.9085801839828491,0.9072811562585219,p_ming | s2345,2024-03-08 19:08:37.034293
128000,validation,off,200,0.001,128,256,186,1.8474584081898564,0.9689538043478261,1.9036507606506348,0.9119170984455959,p_ming | s2345,2024-03-08 19:08:37.034293
42,validation,off,200,0.001,128,256,170,1.843459697391676,0.9729986780258519,1.8903186321258545,0.9260976274884102,pareto | s2345,2024-03-08 19:10:17.102151
2024,validation,off,200,0.001,128,256,196,1.8425988829654196,0.9738451086956522,1.8937654495239258,0.9230979001908918,pareto | s2345,2024-03-08 19:10:17.102151
