seed,nmi,tensor_label,export_time
42,0.6962512248381018,VAE | s2345,2024-03-10 14:18:41.872324
2024,0.6922119438760487,VAE | s2345,2024-03-10 14:18:41.872324
4042,0.6543587406703821,VAE | s2345,2024-03-10 14:18:41.872324
8096,0.691402130563254,VAE | s2345,2024-03-10 14:18:41.872324
128000,0.6642817895000526,VAE | s2345,2024-03-10 14:18:41.872324
42,0.6215788166709462,p_link | s2345,2024-03-10 14:18:55.458548
2024,0.621430049163411,p_link | s2345,2024-03-10 14:18:55.458548
4042,0.6214160391775783,p_link | s2345,2024-03-10 14:18:55.458548
8096,0.6206913770445264,p_link | s2345,2024-03-10 14:18:55.458548
128000,0.621430049163411,p_link | s2345,2024-03-10 14:18:55.458548
42,0.5814696027621871,StandardAE | s2345,2024-03-10 14:19:09.367302
2024,0.5746325096417363,StandardAE | s2345,2024-03-10 14:19:09.367302
4042,0.5711747293433609,StandardAE | s2345,2024-03-10 14:19:09.367302
8096,0.5753023049589553,StandardAE | s2345,2024-03-10 14:19:09.367302
128000,0.5836018564058685,StandardAE | s2345,2024-03-10 14:19:09.367302
42,0.7092949001615122,no_pareto | s2345,2024-03-10 14:19:23.120541
2024,0.7009661113594103,no_pareto | s2345,2024-03-10 14:19:23.120541
4042,0.704428259142604,no_pareto | s2345,2024-03-10 14:19:23.120541
8096,0.6788518418261894,no_pareto | s2345,2024-03-10 14:19:23.120541
128000,0.7032260509104217,no_pareto | s2345,2024-03-10 14:19:23.120541
42,0.1732892567633053,pca single_task_stacked | s2345,2024-03-10 14:19:45.308452
2024,0.15653321538248302,pca single_task_stacked | s2345,2024-03-10 14:19:45.308452
4042,0.14637271668777113,pca single_task_stacked | s2345,2024-03-10 14:19:45.308452
8096,0.15557955433114962,pca single_task_stacked | s2345,2024-03-10 14:19:45.308452
128000,0.14724901208432103,pca single_task_stacked | s2345,2024-03-10 14:19:45.308452
42,0.07527597286597204,p_decor | s2345,2024-03-10 14:19:58.379006
2024,0.06957006495655317,p_decor | s2345,2024-03-10 14:19:58.379006
4042,0.07227068846037481,p_decor | s2345,2024-03-10 14:19:58.379006
8096,0.07575234679556649,p_decor | s2345,2024-03-10 14:19:58.379006
128000,0.06845188350944567,p_decor | s2345,2024-03-10 14:19:58.379006
42,0.046520148405815386,p_minsg | s2345,2024-03-10 14:20:13.631094
2024,0.04469630614459521,p_minsg | s2345,2024-03-10 14:20:13.631094
4042,0.044860626910938076,p_minsg | s2345,2024-03-10 14:20:13.631094
8096,0.04647578255145396,p_minsg | s2345,2024-03-10 14:20:13.631094
128000,0.045511397531705106,p_minsg | s2345,2024-03-10 14:20:13.631094
42,0.653632402451039,p_ming | s2345,2024-03-10 14:20:26.256546
2024,0.668976756380764,p_ming | s2345,2024-03-10 14:20:26.256546
4042,0.6543342197331619,p_ming | s2345,2024-03-10 14:20:26.256546
8096,0.6537947186471644,p_ming | s2345,2024-03-10 14:20:26.256546
128000,0.668352210753948,p_ming | s2345,2024-03-10 14:20:26.256546
42,0.7183748337509878,pareto | s2345,2024-03-10 14:20:39.928420
2024,0.7212406792246547,pareto | s2345,2024-03-10 14:20:39.928420
4042,0.7207030641227155,pareto | s2345,2024-03-10 14:20:39.928420
8096,0.7213098052335142,pareto | s2345,2024-03-10 14:20:39.928420
128000,0.7095196714620402,pareto | s2345,2024-03-10 14:20:39.928420
42,0.579891829835636,p_recon | s2345,2024-03-10 14:20:53.528018
2024,0.5790737479102183,p_recon | s2345,2024-03-10 14:20:53.528018
4042,0.5792628725945141,p_recon | s2345,2024-03-10 14:20:53.528018
8096,0.5991253893936432,p_recon | s2345,2024-03-10 14:20:53.528018
128000,0.585674565040332,p_recon | s2345,2024-03-10 14:20:53.528018
