seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,197,1.301231158276399,0.9728190104166666,1.3241305351257324,0.949673202614379,VAE | s2345,2024-03-08 12:14:08.275102
2024,validation,off,200,0.001,128,256,196,1.2973208352923393,0.9766877003205128,1.329747200012207,0.9444444444444444,VAE | s2345,2024-03-08 12:14:08.275102
4042,validation,off,200,0.001,128,256,194,1.2985698406895,0.9753856169871794,1.3450983762741089,0.9274509803921569,VAE | s2345,2024-03-08 12:14:08.275102
8096,validation,off,200,0.001,128,256,199,1.3012284661332767,0.9727063301282052,1.332078456878662,0.9418300653594771,VAE | s2345,2024-03-08 12:14:08.275102
128000,validation,off,200,0.001,128,256,181,1.3005369727810223,0.9735576923076924,1.334694266319275,0.938562091503268,VAE | s2345,2024-03-08 12:14:08.275102
42,validation,off,200,0.001,128,256,189,1.384317455192407,0.8894606370192308,1.3904019594192505,0.8830065359477124,p_link | s2345,2024-03-08 12:14:49.235703
2024,validation,off,200,0.001,128,256,198,1.3816543370485306,0.8931290064102564,1.4019172191619873,0.869281045751634,p_link | s2345,2024-03-08 12:14:49.235703
4042,validation,off,200,0.001,128,256,198,1.3513748000065486,0.9231520432692308,1.3730450868606567,0.8993464052287582,p_link | s2345,2024-03-08 12:14:49.235703
8096,validation,off,200,0.001,128,256,196,1.3501870979865391,0.925067608173077,1.37143874168396,0.9026143790849673,p_link | s2345,2024-03-08 12:14:49.235703
128000,validation,off,200,0.001,128,256,199,1.3520630424221356,0.923164563301282,1.3694705963134766,0.903921568627451,p_link | s2345,2024-03-08 12:14:49.235703
42,validation,off,200,0.001,128,256,188,1.3021855776508648,0.9720552884615384,1.3266873359680176,0.9477124183006536,StandardAE | s2345,2024-03-08 12:15:29.356590
2024,validation,off,200,0.001,128,256,197,1.3018029381831486,0.9722931690705128,1.3335235118865967,0.9405228758169935,StandardAE | s2345,2024-03-08 12:15:29.356590
4042,validation,off,200,0.001,128,256,197,1.3004106481870015,0.973720452724359,1.343162178993225,0.930718954248366,StandardAE | s2345,2024-03-08 12:15:29.356590
8096,validation,off,200,0.001,128,256,199,1.3009506116310756,0.9730819310897436,1.333956003189087,0.9405228758169935,StandardAE | s2345,2024-03-08 12:15:29.356590
128000,validation,off,200,0.001,128,256,193,1.3019966036081314,0.9722180488782052,1.3270183801651,0.9470588235294117,StandardAE | s2345,2024-03-08 12:15:29.356590
42,validation,off,200,0.001,128,256,195,1.305398590862751,0.9688000801282052,1.327409267425537,0.9464052287581699,no_pareto | s2345,2024-03-08 12:16:09.662769
2024,validation,off,200,0.001,128,256,184,1.304058276116848,0.97021484375,1.3280518054962158,0.9457516339869281,no_pareto | s2345,2024-03-08 12:16:09.662769
4042,validation,off,200,0.001,128,256,174,1.300407888988654,0.9739583333333334,1.337416410446167,0.9372549019607843,no_pareto | s2345,2024-03-08 12:16:09.662769
8096,validation,off,200,0.001,128,256,195,1.3032756919662158,0.970703125,1.3389087915420532,0.9352941176470588,no_pareto | s2345,2024-03-08 12:16:09.662769
128000,validation,off,200,0.001,128,256,192,1.3029638305306435,0.9711162860576924,1.328481912612915,0.9444444444444444,no_pareto | s2345,2024-03-08 12:16:09.662769
42,validation,off,200,0.001,128,256,167,1.2933167094985645,0.9806815905448718,1.330405831336975,0.9431372549019608,pca single_task_stacked | s2345,2024-03-08 12:16:50.981082
2024,validation,off,200,0.001,128,256,158,1.293484089275201,0.98046875,1.3318716287612915,0.9424836601307189,pca single_task_stacked | s2345,2024-03-08 12:16:50.981082
4042,validation,off,200,0.001,128,256,145,1.2930053373177846,0.98095703125,1.3435856103897095,0.9294117647058824,pca single_task_stacked | s2345,2024-03-08 12:16:50.981082
8096,validation,off,200,0.001,128,256,168,1.2943522756298382,0.9796549479166666,1.324933409690857,0.9477124183006536,pca single_task_stacked | s2345,2024-03-08 12:16:50.981082
128000,validation,off,200,0.001,128,256,168,1.2958960756659508,0.97802734375,1.3311846256256104,0.9418300653594771,pca single_task_stacked | s2345,2024-03-08 12:16:50.981082
42,validation,off,200,0.001,128,256,198,1.352136271695296,0.9245042067307692,1.3882731199264526,0.8869281045751634,p_decor | s2345,2024-03-08 12:17:34.440829
2024,validation,off,200,0.001,128,256,198,1.3522238408525784,0.9253555689102564,1.3843762874603271,0.8888888888888888,p_decor | s2345,2024-03-08 12:17:34.440829
4042,validation,off,200,0.001,128,256,199,1.3544545595844586,0.922100360576923,1.3935917615890503,0.8810457516339869,p_decor | s2345,2024-03-08 12:17:34.440829
8096,validation,off,200,0.001,128,256,197,1.3546681602795918,0.9222631209935898,1.3870619535446167,0.8875816993464052,p_decor | s2345,2024-03-08 12:17:34.440829
128000,validation,off,200,0.001,128,256,199,1.3505573496222496,0.925555889423077,1.401524305343628,0.8712418300653595,p_decor | s2345,2024-03-08 12:17:34.440829
42,validation,off,200,0.001,128,256,193,1.3629981403549511,0.9109700520833334,1.3883113861083984,0.8869281045751634,p_minsg | s2345,2024-03-08 12:18:15.286653
2024,validation,off,200,0.001,128,256,195,1.316489617029826,0.9597230568910257,1.3451573848724365,0.9313725490196079,p_minsg | s2345,2024-03-08 12:18:15.286653
