seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,199,1.4912883167465527,0.9699769631410257,1.5344817638397217,0.9274509803921569,VAE | s2345,2024-03-08 12:20:52.790987
2024,validation,off,200,0.001,128,256,194,1.4909037748972576,0.97021484375,1.5343979597091675,0.9261437908496732,VAE | s2345,2024-03-08 12:20:52.790987
4042,validation,off,200,0.001,128,256,192,1.4959147199988365,0.9651317107371794,1.5309737920761108,0.9294117647058824,VAE | s2345,2024-03-08 12:20:52.790987
8096,validation,off,200,0.001,128,256,191,1.491179292400678,0.9698893229166666,1.5317376852035522,0.930718954248366,VAE | s2345,2024-03-08 12:20:52.790987
128000,validation,off,200,0.001,128,256,199,1.4934773743152618,0.9675731169871794,1.537532925605774,0.9228758169934641,VAE | s2345,2024-03-08 12:20:52.790987
42,validation,off,200,0.001,128,256,199,1.5475117787718773,0.9184820713141025,1.582875370979309,0.8810457516339869,p_link | s2345,2024-03-08 12:21:32.427340
2024,validation,off,200,0.001,128,256,193,1.552948035299778,0.9142127403846154,1.5518887042999268,0.9098039215686274,p_link | s2345,2024-03-08 12:21:32.427340
4042,validation,off,200,0.001,128,256,196,1.5517824987570445,0.913887219551282,1.5832934379577637,0.8810457516339869,p_link | s2345,2024-03-08 12:21:32.427340
8096,validation,off,200,0.001,128,256,199,1.5498701855540276,0.9178185096153846,1.575646996498108,0.8862745098039215,p_link | s2345,2024-03-08 12:21:32.427340
128000,validation,off,200,0.001,128,256,199,1.5514690180619557,0.9154897836538461,1.5780915021896362,0.8875816993464052,p_link | s2345,2024-03-08 12:21:32.427340
42,validation,off,200,0.001,128,256,199,1.490067258477211,0.9712414863782052,1.533138632774353,0.9281045751633987,StandardAE | s2345,2024-03-08 12:22:11.010512
2024,validation,off,200,0.001,128,256,190,1.4923483307162921,0.9691256009615384,1.5265216827392578,0.934640522875817,StandardAE | s2345,2024-03-08 12:22:11.010512
4042,validation,off,200,0.001,128,256,195,1.4918345659971237,0.9695262419871794,1.5310419797897339,0.9300653594771242,StandardAE | s2345,2024-03-08 12:22:11.010512
8096,validation,off,200,0.001,128,256,163,1.4890174319346745,0.9722180488782052,1.537073016166687,0.9254901960784314,StandardAE | s2345,2024-03-08 12:22:11.010512
128000,validation,off,200,0.001,128,256,190,1.4881911029418309,0.9731069711538461,1.535535216331482,0.9241830065359478,StandardAE | s2345,2024-03-08 12:22:11.010512
42,validation,off,200,0.001,128,256,167,1.4973414689302444,0.9642803485576924,1.5390492677688599,0.9235294117647059,no_pareto | s2345,2024-03-08 12:22:50.057768
2024,validation,off,200,0.001,128,256,199,1.5026529431343079,0.9588716947115384,1.531243085861206,0.930718954248366,no_pareto | s2345,2024-03-08 12:22:50.057768
4042,validation,off,200,0.001,128,256,198,1.5008822406331699,0.9602488982371794,1.5393189191818237,0.9209150326797385,no_pareto | s2345,2024-03-08 12:22:50.057768
8096,validation,off,200,0.001,128,256,194,1.4987854634722073,0.962577624198718,1.5410492420196533,0.9202614379084967,no_pareto | s2345,2024-03-08 12:22:50.057768
128000,validation,off,200,0.001,128,256,192,1.4981689602136612,0.9631410256410257,1.5452828407287598,0.9150326797385621,no_pareto | s2345,2024-03-08 12:22:50.057768
42,validation,off,200,0.001,128,256,125,1.4793617377678554,0.9817708333333334,1.52870774269104,0.9326797385620915,pca single_task_stacked | s2345,2024-03-08 12:23:29.320963
2024,validation,off,200,0.001,128,256,198,1.483427070081234,0.9776642628205128,1.5220414400100708,0.9398692810457516,pca single_task_stacked | s2345,2024-03-08 12:23:29.320963
4042,validation,off,200,0.001,128,256,191,1.4809809600313504,0.9801432291666666,1.5300023555755615,0.930718954248366,pca single_task_stacked | s2345,2024-03-08 12:23:29.320963
8096,validation,off,200,0.001,128,256,91,1.4837902610500653,0.9773763020833334,1.5324993133544922,0.9281045751633987,pca single_task_stacked | s2345,2024-03-08 12:23:29.320963
128000,validation,off,200,0.001,128,256,174,1.4826495150725048,0.978515625,1.529727578163147,0.9300653594771242,pca single_task_stacked | s2345,2024-03-08 12:23:29.320963
42,validation,off,200,0.001,128,256,199,1.5611430803934734,0.9035581931089743,1.6149225234985352,0.8503267973856209,p_decor | s2345,2024-03-08 12:24:10.620960
2024,validation,off,200,0.001,128,256,199,1.563184564312299,0.9022936698717948,1.5991711616516113,0.8640522875816994,p_decor | s2345,2024-03-08 12:24:10.620960
4042,validation,off,200,0.001,128,256,199,1.5586965555946033,0.9072015224358975,1.6185358762741089,0.842483660130719,p_decor | s2345,2024-03-08 12:24:10.620960
8096,validation,off,200,0.001,128,256,199,1.5599122618635495,0.9061373197115384,1.6209776401519775,0.842483660130719,p_decor | s2345,2024-03-08 12:24:10.620960
128000,validation,off,200,0.001,128,256,199,1.5608860005935032,0.9056615584935898,1.6137312650680542,0.8470588235294118,p_decor | s2345,2024-03-08 12:24:10.620960
42,validation,off,200,0.001,128,256,197,1.516712635755539,0.9462640224358975,1.5733168125152588,0.8875816993464052,p_minsg | s2345,2024-03-08 12:24:49.899096
2024,validation,off,200,0.001,128,256,191,1.5204997509717941,0.9431715745192308,1.5566970109939575,0.9052287581699346,p_minsg | s2345,2024-03-08 12:24:49.899096
4042,validation,off,200,0.001,128,256,193,1.516754227379958,0.9456505408653846,1.5638132095336914,0.8967320261437909,p_minsg | s2345,2024-03-08 12:24:49.899096
8096,validation,off,200,0.001,128,256,188,1.5171926617622375,0.9460887419871794,1.5682429075241089,0.8960784313725491,p_minsg | s2345,2024-03-08 12:24:49.899096
128000,validation,off,200,0.001,128,256,178,1.516103595495224,0.9471153846153846,1.567347526550293,0.8973856209150327,p_minsg | s2345,2024-03-08 12:24:49.899096
42,validation,off,200,0.001,128,256,162,1.4984985118110974,0.9631785857371794,1.5477083921432495,0.9143790849673202,p_ming | s2345,2024-03-08 12:25:28.999433
2024,validation,off,200,0.001,128,256,190,1.4977549811204274,0.9634289863782052,1.5254640579223633,0.934640522875817,p_ming | s2345,2024-03-08 12:25:28.999433
4042,validation,off,200,0.001,128,256,196,1.5015894944469135,0.9597731370192308,1.543291449546814,0.9183006535947712,p_ming | s2345,2024-03-08 12:25:28.999433
8096,validation,off,200,0.001,128,256,179,1.4952252904574077,0.9659455128205128,1.535435438156128,0.9248366013071896,p_ming | s2345,2024-03-08 12:25:28.999433
128000,validation,off,200,0.001,128,256,178,1.5020589803655942,0.959159655448718,1.53684401512146,0.9235294117647059,p_ming | s2345,2024-03-08 12:25:28.999433
42,validation,off,200,0.001,128,256,198,1.496716116865476,0.9645683092948718,1.5440170764923096,0.9169934640522875,pareto | s2345,2024-03-08 12:26:07.859185
2024,validation,off,200,0.001,128,256,193,1.5012757082780201,0.9603365384615384,1.5340309143066406,0.9267973856209151,pareto | s2345,2024-03-08 12:26:07.859185
4042,validation,off,200,0.001,128,256,179,1.49908164391915,0.9624524238782052,1.5346051454544067,0.9274509803921569,pareto | s2345,2024-03-08 12:26:07.859185
8096,validation,off,200,0.001,128,256,192,1.4967030088106792,0.9644931891025642,1.5384153127670288,0.9222222222222223,pareto | s2345,2024-03-08 12:26:07.859185
128000,validation,off,200,0.001,128,256,181,1.498381791015466,0.9630158253205128,1.5443533658981323,0.9156862745098039,pareto | s2345,2024-03-08 12:26:07.859185
42,validation,off,200,0.001,128,256,187,1.4935900469621022,0.9674103565705128,1.5349143743515015,0.9254901960784314,p_recon | s2345,2024-03-08 12:26:46.587213
2024,validation,off,200,0.001,128,256,192,1.4944490417838097,0.9665965544871794,1.527929425239563,0.9320261437908497,p_recon | s2345,2024-03-08 12:26:46.587213
4042,validation,off,200,0.001,128,256,191,1.4934220910072327,0.9675731169871794,1.5399929285049438,0.9209150326797385,p_recon | s2345,2024-03-08 12:26:46.587213
8096,validation,off,200,0.001,128,256,198,1.494276337325573,0.9667593149038461,1.5385184288024902,0.9222222222222223,p_recon | s2345,2024-03-08 12:26:46.587213
128000,validation,off,200,0.001,128,256,157,1.4932300671935081,0.9678986378205128,1.546224594116211,0.9124183006535947,p_recon | s2345,2024-03-08 12:26:46.587213
