seed,nmi,tensor_label,export_time
42,0.6322081524226835,VAE | s2345,2024-03-10 12:55:29.881828
2024,0.5973043478519088,VAE | s2345,2024-03-10 12:55:29.881828
4042,0.6113926744941557,VAE | s2345,2024-03-10 12:55:29.881828
8096,0.6224111661886207,VAE | s2345,2024-03-10 12:55:29.881828
128000,0.6326163050390078,VAE | s2345,2024-03-10 12:55:29.881828
42,0.5919686184232268,p_link | s2345,2024-03-10 12:55:38.013347
2024,0.5919690512669991,p_link | s2345,2024-03-10 12:55:38.013347
4042,0.5922865441511347,p_link | s2345,2024-03-10 12:55:38.013347
8096,0.5924898324283426,p_link | s2345,2024-03-10 12:55:38.013347
128000,0.5919690512669988,p_link | s2345,2024-03-10 12:55:38.013347
42,0.5569908259239965,StandardAE | s2345,2024-03-10 12:55:45.500200
2024,0.5536969690771513,StandardAE | s2345,2024-03-10 12:55:45.500200
4042,0.55434205388631,StandardAE | s2345,2024-03-10 12:55:45.500200
8096,0.5535034597578201,StandardAE | s2345,2024-03-10 12:55:45.500200
128000,0.5561253843141769,StandardAE | s2345,2024-03-10 12:55:45.500200
42,0.5825706251432613,no_pareto | s2345,2024-03-10 12:55:52.830561
2024,0.583154382061447,no_pareto | s2345,2024-03-10 12:55:52.830561
4042,0.5778053179354278,no_pareto | s2345,2024-03-10 12:55:52.830561
8096,0.5788292846065534,no_pareto | s2345,2024-03-10 12:55:52.830561
128000,0.5830910386993934,no_pareto | s2345,2024-03-10 12:55:52.830561
42,0.4925059059647171,pca single_task_stacked | s2345,2024-03-10 12:56:04.145343
2024,0.49367281829072723,pca single_task_stacked | s2345,2024-03-10 12:56:04.145343
4042,0.4811217651237266,pca single_task_stacked | s2345,2024-03-10 12:56:04.145343
8096,0.48042163654841263,pca single_task_stacked | s2345,2024-03-10 12:56:04.145343
128000,0.4931703712555518,pca single_task_stacked | s2345,2024-03-10 12:56:04.145343
42,0.29664030866033014,p_decor | s2345,2024-03-10 12:56:11.256156
2024,0.29646707360868013,p_decor | s2345,2024-03-10 12:56:11.256156
4042,0.2912503152637986,p_decor | s2345,2024-03-10 12:56:11.256156
8096,0.29124119065713944,p_decor | s2345,2024-03-10 12:56:11.256156
128000,0.32077011174065784,p_decor | s2345,2024-03-10 12:56:11.256156
42,0.17522411154680023,p_minsg | s2345,2024-03-10 12:56:18.832400
2024,0.1750984507496468,p_minsg | s2345,2024-03-10 12:56:18.832400
4042,0.1749794944133928,p_minsg | s2345,2024-03-10 12:56:18.832400
8096,0.17480052302857088,p_minsg | s2345,2024-03-10 12:56:18.832400
128000,0.17522411154680023,p_minsg | s2345,2024-03-10 12:56:18.832400
42,0.6287077678157476,p_ming | s2345,2024-03-10 12:56:26.012595
2024,0.6287077678157474,p_ming | s2345,2024-03-10 12:56:26.012595
4042,0.6253008065969785,p_ming | s2345,2024-03-10 12:56:26.012595
8096,0.6287077678157474,p_ming | s2345,2024-03-10 12:56:26.012595
128000,0.6291562241880783,p_ming | s2345,2024-03-10 12:56:26.012595
42,0.5885329109670978,pareto | s2345,2024-03-10 12:56:33.517861
2024,0.5880953888489641,pareto | s2345,2024-03-10 12:56:33.517861
4042,0.5882292009835435,pareto | s2345,2024-03-10 12:56:33.517861
8096,0.5885637074848139,pareto | s2345,2024-03-10 12:56:33.517861
128000,0.5902438656154656,pareto | s2345,2024-03-10 12:56:33.517861
42,0.6336005601106256,p_recon | s2345,2024-03-10 12:56:41.113206
2024,0.6329795036213727,p_recon | s2345,2024-03-10 12:56:41.113206
4042,0.6336349525063669,p_recon | s2345,2024-03-10 12:56:41.113206
8096,0.6334993615081144,p_recon | s2345,2024-03-10 12:56:41.113206
128000,0.6329795036213727,p_recon | s2345,2024-03-10 12:56:41.113206
