seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,194,0.6082818094761141,0.9429183467741935,0.7009053230285645,0.8481237322515213,VAE | s2345,2024-03-08 12:28:27.719513
2024,validation,off,200,0.001,128,256,196,0.6007795107941474,0.9506048387096774,0.7077990770339966,0.8389959432048681,VAE | s2345,2024-03-08 12:28:27.719513
4042,validation,off,200,0.001,128,256,191,0.6022358527106624,0.9490927419354839,0.708252489566803,0.8412778904665315,VAE | s2345,2024-03-08 12:28:27.719513
8096,validation,off,200,0.001,128,256,193,0.6078108573152173,0.9434223790322581,0.7101573944091797,0.8384888438133874,VAE | s2345,2024-03-08 12:28:27.719513
128000,validation,off,200,0.001,128,256,199,0.6039781123399734,0.9473916330645161,0.7145264744758606,0.8326572008113591,VAE | s2345,2024-03-08 12:28:27.719513
42,validation,off,200,0.001,128,256,192,0.6926327121834601,0.8582148567853171,0.7164804339408875,0.829107505070994,p_link | s2345,2024-03-08 12:30:07.193989
2024,validation,off,200,0.001,128,256,192,0.6931837258800384,0.8576217498609566,0.7140543460845947,0.8336713995943205,p_link | s2345,2024-03-08 12:30:07.193989
4042,validation,off,200,0.001,128,256,197,0.6883754018814333,0.8642741066462737,0.7166793942451477,0.8329107505070994,p_link | s2345,2024-03-08 12:30:07.193989
8096,validation,off,200,0.001,128,256,199,0.6927639683408122,0.8579845661846497,0.7183281183242798,0.8311359026369168,p_link | s2345,2024-03-08 12:30:07.193989
128000,validation,off,200,0.001,128,256,197,0.6892384675241285,0.8623839856785317,0.7191686034202576,0.8283468559837728,p_link | s2345,2024-03-08 12:30:07.193989
42,validation,off,200,0.001,128,256,187,0.6272651442596989,0.9246211067853171,0.6981726288795471,0.8501521298174443,StandardAE | s2345,2024-03-08 12:31:48.066870
2024,validation,off,200,0.001,128,256,193,0.6256202348778325,0.9259550542269188,0.6976028680801392,0.8531947261663286,StandardAE | s2345,2024-03-08 12:31:48.066870
4042,validation,off,200,0.001,128,256,195,0.6282004132386176,0.9232567436040044,0.7007147073745728,0.8473630831643002,StandardAE | s2345,2024-03-08 12:31:48.066870
8096,validation,off,200,0.001,128,256,192,0.6268699520057247,0.9249991309788654,0.704036295413971,0.8460953346855984,StandardAE | s2345,2024-03-08 12:31:48.066870
128000,validation,off,200,0.001,128,256,198,0.6241908852131136,0.9273150723025584,0.7095992565155029,0.8379817444219066,StandardAE | s2345,2024-03-08 12:31:48.066870
42,validation,off,200,0.001,128,256,196,0.605250037966236,0.9461315524193549,0.6889918446540833,0.8602941176470589,no_pareto | s2345,2024-03-08 12:33:28.234049
2024,validation,off,200,0.001,128,256,198,0.6035420913850108,0.9477696572580645,0.6930918097496033,0.856237322515213,no_pareto | s2345,2024-03-08 12:33:28.234049
4042,validation,off,200,0.001,128,256,193,0.6044302332785821,0.9468876008064516,0.6908364295959473,0.8595334685598377,no_pareto | s2345,2024-03-08 12:33:28.234049
8096,validation,off,200,0.001,128,256,197,0.6045681574652272,0.9467985261401558,0.6891500949859619,0.8595334685598377,no_pareto | s2345,2024-03-08 12:33:28.234049
128000,validation,off,200,0.001,128,256,193,0.6047631011855218,0.9465095766129032,0.6944707632064819,0.8549695740365112,no_pareto | s2345,2024-03-08 12:33:28.234049
42,validation,off,200,0.001,128,256,189,0.5942270943234044,0.9571572580645161,0.6972420811653137,0.8521805273833671,pca single_task_stacked | s2345,2024-03-08 12:35:09.806055
2024,validation,off,200,0.001,128,256,198,0.5907321601144729,0.9606224798387096,0.6966037154197693,0.8531947261663286,pca single_task_stacked | s2345,2024-03-08 12:35:09.806055
4042,validation,off,200,0.001,128,256,188,0.5915099156479682,0.959929435483871,0.6992117166519165,0.8496450304259635,pca single_task_stacked | s2345,2024-03-08 12:35:09.806055
8096,validation,off,200,0.001,128,256,177,0.5935304804194358,0.9578503024193549,0.699941098690033,0.8496450304259635,pca single_task_stacked | s2345,2024-03-08 12:35:09.806055
128000,validation,off,200,0.001,128,256,195,0.5927995308752982,0.9585433467741935,0.6976288557052612,0.8514198782961461,pca single_task_stacked | s2345,2024-03-08 12:35:09.806055
42,validation,off,200,0.001,128,256,198,0.8827560135433751,0.6305356646273638,0.8962013721466064,0.6204361054766734,p_decor | s2345,2024-03-08 12:36:49.911680
2024,validation,off,200,0.001,128,256,199,0.8849299833659203,0.6261666608731924,0.8901207447052002,0.6255070993914807,p_decor | s2345,2024-03-08 12:36:49.911680
4042,validation,off,200,0.001,128,256,189,0.8837746261588989,0.6345679226918799,0.8974764347076416,0.6181541582150102,p_decor | s2345,2024-03-08 12:36:49.911680
8096,validation,off,200,0.001,128,256,197,0.8846823130884478,0.6259363702725251,0.8925922513008118,0.6237322515212982,p_decor | s2345,2024-03-08 12:36:49.911680
128000,validation,off,200,0.001,128,256,187,0.8850307882793488,0.6274376042825361,0.8947240710258484,0.6211967545638946,p_decor | s2345,2024-03-08 12:36:49.911680
42,validation,off,200,0.001,128,256,193,0.5871472517328877,0.9643505805061179,0.9142501354217529,0.6280425963488844,p_minsg | s2345,2024-03-08 12:38:28.812709
2024,validation,off,200,0.001,128,256,197,0.5856516481407227,0.9657258064516129,0.9250368475914001,0.6161257606490872,p_minsg | s2345,2024-03-08 12:38:28.812709
4042,validation,off,200,0.001,128,256,195,0.5873032173802776,0.9638465482480534,0.9209176898002625,0.6227180527383367,p_minsg | s2345,2024-03-08 12:38:28.812709
8096,validation,off,200,0.001,128,256,199,0.5854042725216958,0.9660256187430478,0.9056927561759949,0.6386916835699797,p_minsg | s2345,2024-03-08 12:38:28.812709
128000,validation,off,200,0.001,128,256,187,0.5863788339399523,0.9645917338709677,0.9134432077407837,0.6265212981744422,p_minsg | s2345,2024-03-08 12:38:28.812709
