seed,nmi,tensor_label,export_time
42,0.16727317392412286,VAE | s2345,2024-03-10 12:56:49.104745
2024,0.16734149856488084,VAE | s2345,2024-03-10 12:56:49.104745
4042,0.16899887859665996,VAE | s2345,2024-03-10 12:56:49.104745
8096,0.16732639166829588,VAE | s2345,2024-03-10 12:56:49.104745
128000,0.1701970918082407,VAE | s2345,2024-03-10 12:56:49.104745
42,0.11808337779818624,p_link | s2345,2024-03-10 12:56:57.311553
2024,0.11808337779818624,p_link | s2345,2024-03-10 12:56:57.311553
4042,0.11808337779818627,p_link | s2345,2024-03-10 12:56:57.311553
8096,0.11808337779818624,p_link | s2345,2024-03-10 12:56:57.311553
128000,0.11808337779818624,p_link | s2345,2024-03-10 12:56:57.311553
42,0.2947336141556217,StandardAE | s2345,2024-03-10 12:57:04.683069
2024,0.29474967746607,StandardAE | s2345,2024-03-10 12:57:04.683069
4042,0.29477432960691236,StandardAE | s2345,2024-03-10 12:57:04.683069
8096,0.29474967746607,StandardAE | s2345,2024-03-10 12:57:04.683069
128000,0.2947582755368272,StandardAE | s2345,2024-03-10 12:57:04.683069
42,0.19183542845923915,no_pareto | s2345,2024-03-10 12:57:12.685350
2024,0.1917857060320752,no_pareto | s2345,2024-03-10 12:57:12.685350
4042,0.19183542845923912,no_pareto | s2345,2024-03-10 12:57:12.685350
8096,0.1917857060320752,no_pareto | s2345,2024-03-10 12:57:12.685350
128000,0.19178570603207518,no_pareto | s2345,2024-03-10 12:57:12.685350
42,0.09745607936771448,pca single_task_stacked | s2345,2024-03-10 12:57:23.510380
2024,0.09745607936771448,pca single_task_stacked | s2345,2024-03-10 12:57:23.510380
4042,0.09748196491822228,pca single_task_stacked | s2345,2024-03-10 12:57:23.510380
8096,0.09745607936771447,pca single_task_stacked | s2345,2024-03-10 12:57:23.510380
128000,0.09745607936771448,pca single_task_stacked | s2345,2024-03-10 12:57:23.510380
42,0.0022848151653818405,p_decor | s2345,2024-03-10 12:57:30.649956
2024,0.04005572012546941,p_decor | s2345,2024-03-10 12:57:30.649956
4042,0.016012349169936095,p_decor | s2345,2024-03-10 12:57:30.649956
8096,0.0035040053169080815,p_decor | s2345,2024-03-10 12:57:30.649956
128000,0.01577113096652627,p_decor | s2345,2024-03-10 12:57:30.649956
42,0.0030122165877338116,p_minsg | s2345,2024-03-10 12:57:38.576612
2024,0.0030122165877338116,p_minsg | s2345,2024-03-10 12:57:38.576612
4042,0.0030122165877338116,p_minsg | s2345,2024-03-10 12:57:38.576612
8096,0.0030122165877338116,p_minsg | s2345,2024-03-10 12:57:38.576612
128000,0.002932302956393421,p_minsg | s2345,2024-03-10 12:57:38.576612
42,0.24107381014579474,p_ming | s2345,2024-03-10 12:57:46.060486
2024,0.24107381014579465,p_ming | s2345,2024-03-10 12:57:46.060486
4042,0.2417033870202899,p_ming | s2345,2024-03-10 12:57:46.060486
8096,0.2417033870202899,p_ming | s2345,2024-03-10 12:57:46.060486
128000,0.24107381014579474,p_ming | s2345,2024-03-10 12:57:46.060486
42,0.243740619090809,pareto | s2345,2024-03-10 12:57:53.791187
2024,0.24362963736152332,pareto | s2345,2024-03-10 12:57:53.791187
4042,0.24328525523095287,pareto | s2345,2024-03-10 12:57:53.791187
8096,0.24308620640466685,pareto | s2345,2024-03-10 12:57:53.791187
128000,0.24308620640466685,pareto | s2345,2024-03-10 12:57:53.791187
42,0.19636651577375333,p_recon | s2345,2024-03-10 12:58:01.153632
2024,0.19636651577375333,p_recon | s2345,2024-03-10 12:58:01.153632
4042,0.19636651577375333,p_recon | s2345,2024-03-10 12:58:01.153632
8096,0.1975116397102225,p_recon | s2345,2024-03-10 12:58:01.153632
128000,0.19636651577375333,p_recon | s2345,2024-03-10 12:58:01.153632
