seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,197,1.5802183404113308,0.8809185606060606,1.7021173238754272,0.7569644572526417,VAE | s2345,2024-03-08 13:05:56.327681
2024,validation,off,200,0.001,128,256,199,1.581817955681772,0.8794981060606061,1.6929963827133179,0.7675312199807877,VAE | s2345,2024-03-08 13:05:56.327681
4042,validation,off,200,0.001,128,256,199,1.5919855002200964,0.8683712121212122,1.6779541969299316,0.7838616714697406,VAE | s2345,2024-03-08 13:05:56.327681
8096,validation,off,200,0.001,128,256,189,1.5873713746215359,0.8735795454545454,1.7022056579589844,0.7588856868395774,VAE | s2345,2024-03-08 13:05:56.327681
128000,validation,off,200,0.001,128,256,195,1.5833493182153413,0.8778409090909091,1.6845777034759521,0.7780979827089337,VAE | s2345,2024-03-08 13:05:56.327681
42,validation,off,200,0.001,128,256,199,1.854758038665309,0.6072443181818182,1.892944574356079,0.5648414985590778,p_link | s2345,2024-03-08 13:06:24.467544
2024,validation,off,200,0.001,128,256,188,1.8497251308325566,0.6122159090909091,1.888559341430664,0.5754082612872238,p_link | s2345,2024-03-08 13:06:24.467544
4042,validation,off,200,0.001,128,256,199,1.8562257470506611,0.6072443181818182,1.8762876987457275,0.5802113352545629,p_link | s2345,2024-03-08 13:06:24.467544
8096,validation,off,200,0.001,128,256,196,1.849707867159988,0.6138731060606061,1.8935621976852417,0.56388088376561,p_link | s2345,2024-03-08 13:06:24.467544
128000,validation,off,200,0.001,128,256,191,1.8578196800116338,0.6053503787878788,1.871023416519165,0.5869356388088377,p_link | s2345,2024-03-08 13:06:24.467544
42,validation,off,200,0.001,128,256,175,1.5902158455415205,0.8721590909090909,1.6867835521697998,0.7780979827089337,StandardAE | s2345,2024-03-08 13:06:51.498004
2024,validation,off,200,0.001,128,256,187,1.6306121349334717,0.8309659090909091,1.7259430885314941,0.733909702209414,StandardAE | s2345,2024-03-08 13:06:51.498004
