seed,nmi,tensor_label,export_time
42,0.03648197896077297,VAE | s2345,2024-03-10 12:58:07.749637
2024,0.03706673726385252,VAE | s2345,2024-03-10 12:58:07.749637
4042,0.03678217964130129,VAE | s2345,2024-03-10 12:58:07.749637
8096,0.03714434769738709,VAE | s2345,2024-03-10 12:58:07.749637
128000,0.03709251331054428,VAE | s2345,2024-03-10 12:58:07.749637
42,0.03645415449690503,p_link | s2345,2024-03-10 12:58:14.173338
2024,0.03621527955625355,p_link | s2345,2024-03-10 12:58:14.173338
4042,0.03653827174357031,p_link | s2345,2024-03-10 12:58:14.173338
8096,0.035249315362965085,p_link | s2345,2024-03-10 12:58:14.173338
128000,0.03621527955625355,p_link | s2345,2024-03-10 12:58:14.173338
42,0.022916665497836684,StandardAE | s2345,2024-03-10 12:58:20.681396
2024,0.022916665497836684,StandardAE | s2345,2024-03-10 12:58:20.681396
4042,0.023014394141230302,StandardAE | s2345,2024-03-10 12:58:20.681396
8096,0.02474122418649023,StandardAE | s2345,2024-03-10 12:58:20.681396
128000,0.022916665497836684,StandardAE | s2345,2024-03-10 12:58:20.681396
42,0.03918385399252918,no_pareto | s2345,2024-03-10 12:58:27.278244
2024,0.03910425207977326,no_pareto | s2345,2024-03-10 12:58:27.278244
4042,0.03898806070262147,no_pareto | s2345,2024-03-10 12:58:27.278244
8096,0.03913282822287598,no_pareto | s2345,2024-03-10 12:58:27.278244
128000,0.03918385399252918,no_pareto | s2345,2024-03-10 12:58:27.278244
42,0.04123904089867872,pca single_task_stacked | s2345,2024-03-10 12:58:34.774293
2024,0.04082215932331762,pca single_task_stacked | s2345,2024-03-10 12:58:34.774293
4042,0.04091868663755201,pca single_task_stacked | s2345,2024-03-10 12:58:34.774293
8096,0.04091868663755201,pca single_task_stacked | s2345,2024-03-10 12:58:34.774293
128000,0.04172247223055794,pca single_task_stacked | s2345,2024-03-10 12:58:34.774293
42,0.014686103595104196,p_decor | s2345,2024-03-10 12:58:41.461150
2024,0.014880392528498319,p_decor | s2345,2024-03-10 12:58:41.461150
4042,0.01303799122727695,p_decor | s2345,2024-03-10 12:58:41.461150
8096,0.014693832597718703,p_decor | s2345,2024-03-10 12:58:41.461150
128000,0.015002954640198485,p_decor | s2345,2024-03-10 12:58:41.461150
42,0.014369692091067584,p_minsg | s2345,2024-03-10 12:58:48.028898
2024,0.014356429221858615,p_minsg | s2345,2024-03-10 12:58:48.028898
4042,0.014369692091067586,p_minsg | s2345,2024-03-10 12:58:48.028898
8096,0.014329987916260337,p_minsg | s2345,2024-03-10 12:58:48.028898
128000,0.014278243724762168,p_minsg | s2345,2024-03-10 12:58:48.028898
42,0.04203992177472142,p_ming | s2345,2024-03-10 12:58:55.071677
2024,0.04194536062075779,p_ming | s2345,2024-03-10 12:58:55.071677
4042,0.04203992177472142,p_ming | s2345,2024-03-10 12:58:55.071677
8096,0.042039921774721406,p_ming | s2345,2024-03-10 12:58:55.071677
128000,0.04203992177472142,p_ming | s2345,2024-03-10 12:58:55.071677
42,0.045942508603310346,pareto | s2345,2024-03-10 12:59:01.669417
2024,0.046071817281356786,pareto | s2345,2024-03-10 12:59:01.669417
4042,0.046057330465075846,pareto | s2345,2024-03-10 12:59:01.669417
8096,0.045955170649755364,pareto | s2345,2024-03-10 12:59:01.669417
128000,0.04612917106124029,pareto | s2345,2024-03-10 12:59:01.669417
42,0.04545519429939319,p_recon | s2345,2024-03-10 12:59:08.412761
2024,0.041876787586738476,p_recon | s2345,2024-03-10 12:59:08.412761
4042,0.04487072148892528,p_recon | s2345,2024-03-10 12:59:08.412761
8096,0.04186890656871425,p_recon | s2345,2024-03-10 12:59:08.412761
128000,0.04447563827396171,p_recon | s2345,2024-03-10 12:59:08.412761
