seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,198,1.5456577829412512,0.9153293918918919,1.6277152299880981,0.8351131994873986,VAE | s2345,2024-03-08 13:11:02.107069
2024,validation,off,200,0.001,128,256,187,1.5472148511860822,0.9140625,1.62886381149292,0.8329773601025203,VAE | s2345,2024-03-08 13:11:02.107069
4042,validation,off,200,0.001,128,256,190,1.5471511450973716,0.9140625,1.634901523590088,0.8261426740709099,VAE | s2345,2024-03-08 13:11:02.107069
8096,validation,off,200,0.001,128,256,187,1.5548308088972762,0.90625,1.618886947631836,0.8406663818880821,VAE | s2345,2024-03-08 13:11:02.107069
128000,validation,off,200,0.001,128,256,199,1.5467976895538535,0.9144847972972973,1.6306816339492798,0.8291328492097394,VAE | s2345,2024-03-08 13:11:02.107069
42,validation,off,200,0.001,128,256,198,1.68467346880887,0.7798775337837838,1.7102538347244263,0.7496796240922683,p_link | s2345,2024-03-08 13:12:01.298516
2024,validation,off,200,0.001,128,256,196,1.6825331546164848,0.7800886824324325,1.7125900983810425,0.748825288338317,p_link | s2345,2024-03-08 13:12:01.298516
4042,validation,off,200,0.001,128,256,199,1.6974514142887012,0.7639358108108109,1.7076109647750854,0.7543784707390004,p_link | s2345,2024-03-08 13:12:01.298516
8096,validation,off,200,0.001,128,256,193,1.7284964323043823,0.7335304054054054,1.746869683265686,0.7120888509184109,p_link | s2345,2024-03-08 13:12:01.298516
128000,validation,off,200,0.001,128,256,199,1.6874625570065267,0.7756545608108109,1.7059718370437622,0.756087142246903,p_link | s2345,2024-03-08 13:12:01.298516
42,validation,off,200,0.001,128,256,182,1.5459868666288015,0.9158572635135135,1.6326020956039429,0.8295600170867151,StandardAE | s2345,2024-03-08 13:13:00.399876
2024,validation,off,200,0.001,128,256,199,1.547271784898397,0.914379222972973,1.6204806566238403,0.8402392140111064,StandardAE | s2345,2024-03-08 13:13:00.399876
4042,validation,off,200,0.001,128,256,195,1.5468571524362307,0.9151182432432432,1.621978521347046,0.839384878257155,StandardAE | s2345,2024-03-08 13:13:00.399876
8096,validation,off,200,0.001,128,256,190,1.5460927969700582,0.9156461148648649,1.6131514310836792,0.8487825715506194,StandardAE | s2345,2024-03-08 13:13:00.399876
128000,validation,off,200,0.001,128,256,196,1.5441023578514923,0.917652027027027,1.6157081127166748,0.8445108927808629,StandardAE | s2345,2024-03-08 13:13:00.399876
42,validation,off,200,0.001,128,256,187,1.5825399224822585,0.87890625,1.6530348062515259,0.8069201196070056,no_pareto | s2345,2024-03-08 13:14:00.020822
2024,validation,off,200,0.001,128,256,191,1.5822440305271663,0.87890625,1.654762864112854,0.8047842802221273,no_pareto | s2345,2024-03-08 13:14:00.020822
4042,validation,off,200,0.001,128,256,195,1.562160554769877,0.8995988175675675,1.6270239353179932,0.8325501922255446,no_pareto | s2345,2024-03-08 13:14:00.020822
8096,validation,off,200,0.001,128,256,195,1.5854533266376805,0.8760557432432432,1.6426743268966675,0.8180264844083724,no_pareto | s2345,2024-03-08 13:14:00.020822
128000,validation,off,200,0.001,128,256,196,1.6091187354680654,0.8520903716216216,1.6590696573257446,0.8000854335753951,no_pareto | s2345,2024-03-08 13:14:00.020822
