seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,198,1.5860015266650431,0.8744721283783784,1.7108153104782104,0.7513882956001708,VAE | s2345,2024-03-08 13:21:02.859472
2024,validation,off,200,0.001,128,256,199,1.5919621022971902,0.8686655405405406,1.713442325592041,0.7458351131994874,VAE | s2345,2024-03-08 13:21:02.859472
4042,validation,off,200,0.001,128,256,199,1.5932936797270905,0.8677153716216216,1.7000665664672852,0.7590773173857326,VAE | s2345,2024-03-08 13:21:02.859472
8096,validation,off,200,0.001,128,256,194,1.5901936953132216,0.8704603040540541,1.7066984176635742,0.7535241349850491,VAE | s2345,2024-03-08 13:21:02.859472
128000,validation,off,200,0.001,128,256,190,1.5879372664400049,0.8726773648648649,1.7104682922363281,0.7496796240922683,VAE | s2345,2024-03-08 13:21:02.859472
42,validation,off,200,0.001,128,256,193,1.7516449577099569,0.7142103040540541,1.7995879650115967,0.6612558735583084,p_link | s2345,2024-03-08 13:22:05.149887
2024,validation,off,200,0.001,128,256,199,1.7202835260210811,0.7449324324324325,1.7656118869781494,0.6967108073472875,p_link | s2345,2024-03-08 13:22:05.149887
4042,validation,off,200,0.001,128,256,197,1.7561437761461414,0.7101984797297297,1.7860020399093628,0.6762067492524562,p_link | s2345,2024-03-08 13:22:05.149887
8096,validation,off,200,0.001,128,256,195,1.7695351565206372,0.695629222972973,1.7946959733963013,0.6651003844510893,p_link | s2345,2024-03-08 13:22:05.149887
128000,validation,off,200,0.001,128,256,196,1.7388085191314284,0.7267736486486487,1.7973501682281494,0.6616830414352841,p_link | s2345,2024-03-08 13:22:05.149887
42,validation,off,200,0.001,128,256,164,1.5806137903316602,0.8808065878378378,1.7038476467132568,0.7552328064929518,StandardAE | s2345,2024-03-08 13:23:07.146597
2024,validation,off,200,0.001,128,256,194,1.5792935812795483,0.8817567567567568,1.688164234161377,0.7710380179410509,StandardAE | s2345,2024-03-08 13:23:07.146597
4042,validation,off,200,0.001,128,256,191,1.5854824878074028,0.8755278716216216,1.6844130754470825,0.7761640324647586,StandardAE | s2345,2024-03-08 13:23:07.146597
8096,validation,off,200,0.001,128,256,199,1.584431780351175,0.8766891891891891,1.682298183441162,0.7791542076035882,StandardAE | s2345,2024-03-08 13:23:07.146597
128000,validation,off,200,0.001,128,256,199,1.580065285837328,0.8813344594594594,1.7069975137710571,0.754805638615976,StandardAE | s2345,2024-03-08 13:23:07.146597
42,validation,off,200,0.001,128,256,196,1.6007855180147532,0.8604307432432432,1.7198545932769775,0.7415634344297309,no_pareto | s2345,2024-03-08 13:24:09.944744
2024,validation,off,200,0.001,128,256,198,1.610387763461551,0.8508234797297297,1.7200887203216553,0.7394275950448527,no_pareto | s2345,2024-03-08 13:24:09.944744
4042,validation,off,200,0.001,128,256,199,1.6103332848162264,0.851245777027027,1.7051457166671753,0.756087142246903,no_pareto | s2345,2024-03-08 13:24:09.944744
8096,validation,off,200,0.001,128,256,195,1.6090696760126062,0.8527238175675675,1.7061902284622192,0.754805638615976,no_pareto | s2345,2024-03-08 13:24:09.944744
128000,validation,off,200,0.001,128,256,198,1.6054157002552136,0.8558910472972973,1.7342079877853394,0.7257582229816317,no_pareto | s2345,2024-03-08 13:24:09.944744
42,validation,off,200,0.001,128,256,189,1.5627338660729897,0.8976984797297297,1.700874924659729,0.7565143101238787,pca single_task_stacked | s2345,2024-03-08 13:25:13.226292
2024,validation,off,200,0.001,128,256,198,1.5614101355140273,0.8989653716216216,1.684617280960083,0.7753096967108073,pca single_task_stacked | s2345,2024-03-08 13:25:13.226292
4042,validation,off,200,0.001,128,256,172,1.5634160428433805,0.8969594594594594,1.6839659214019775,0.775736864587783,pca single_task_stacked | s2345,2024-03-08 13:25:13.226292
8096,validation,off,200,0.001,128,256,164,1.5663474508233972,0.8940033783783784,1.6910005807876587,0.7701836821870995,pca single_task_stacked | s2345,2024-03-08 13:25:13.226292
128000,validation,off,200,0.001,128,256,195,1.5624966573070835,0.8979096283783784,1.6939643621444702,0.7654848355403674,pca single_task_stacked | s2345,2024-03-08 13:25:13.226292
42,validation,off,200,0.001,128,256,197,1.8087851211831376,0.6467483108108109,1.8580780029296875,0.5903460059803503,p_decor | s2345,2024-03-08 13:26:13.387748
2024,validation,off,200,0.001,128,256,192,1.8072385369120418,0.6480152027027027,1.8583029508590698,0.5937633489961555,p_decor | s2345,2024-03-08 13:26:13.387748
4042,validation,off,200,0.001,128,256,195,1.8119145309602893,0.6436866554054054,1.8521984815597534,0.6018795386586928,p_decor | s2345,2024-03-08 13:26:13.387748
8096,validation,off,200,0.001,128,256,179,1.8117284887545817,0.6441089527027027,1.8470096588134766,0.6082870568133276,p_decor | s2345,2024-03-08 13:26:13.387748
128000,validation,off,200,0.001,128,256,191,1.8108193294422046,0.6449535472972973,1.8491686582565308,0.6061512174284494,p_decor | s2345,2024-03-08 13:26:13.387748
42,validation,off,200,0.001,128,256,199,1.6279389036668312,0.8359375,1.7366764545440674,0.7219137120888509,p_minsg | s2345,2024-03-08 13:27:13.362705
2024,validation,off,200,0.001,128,256,198,1.63530361330187,0.8277027027027027,1.7397185564041138,0.7202050405809484,p_minsg | s2345,2024-03-08 13:27:13.362705
4042,validation,off,200,0.001,128,256,175,1.63334480652938,0.8291807432432432,1.7296022176742554,0.730457069628364,p_minsg | s2345,2024-03-08 13:27:13.362705
8096,validation,off,200,0.001,128,256,196,1.6282874619638599,0.834987331081081,1.7156805992126465,0.7449807774455361,p_minsg | s2345,2024-03-08 13:27:13.362705
128000,validation,off,200,0.001,128,256,199,1.6291936523205526,0.8328758445945946,1.7415229082107544,0.719350704826997,p_minsg | s2345,2024-03-08 13:27:13.362705
42,validation,off,200,0.001,128,256,193,1.6072451117876414,0.8544130067567568,1.7268565893173218,0.7334472447671935,p_ming | s2345,2024-03-08 13:28:12.912724
2024,validation,off,200,0.001,128,256,196,1.6155911925676707,0.8461782094594594,1.7269883155822754,0.7347287483981204,p_ming | s2345,2024-03-08 13:28:12.912724
4042,validation,off,200,0.001,128,256,199,1.613153343265121,0.8489231418918919,1.7207101583480835,0.7402819307988039,p_ming | s2345,2024-03-08 13:28:12.912724
8096,validation,off,200,0.001,128,256,199,1.614623164808428,0.8463893581081081,1.7180153131484985,0.7398547629218283,p_ming | s2345,2024-03-08 13:28:12.912724
128000,validation,off,200,0.001,128,256,199,1.6104527470227834,0.8514569256756757,1.7294001579284668,0.7325929090132423,p_ming | s2345,2024-03-08 13:28:12.912724
42,validation,off,200,0.001,128,256,197,1.6116750465857017,0.8491342905405406,1.7271761894226074,0.7325929090132423,pareto | s2345,2024-03-08 13:29:12.928943
2024,validation,off,200,0.001,128,256,188,1.608661888418971,0.852512668918919,1.7213901281356812,0.7381460914139256,pareto | s2345,2024-03-08 13:29:12.928943
4042,validation,off,200,0.001,128,256,191,1.6113035405004346,0.8495565878378378,1.7077709436416626,0.7505339598462195,pareto | s2345,2024-03-08 13:29:12.928943
8096,validation,off,200,0.001,128,256,197,1.6082373422545355,0.8528293918918919,1.7072054147720337,0.7509611277231952,pareto | s2345,2024-03-08 13:29:12.928943
128000,validation,off,200,0.001,128,256,187,1.6115875421343624,0.8496621621621622,1.7337055206298828,0.7261853908586074,pareto | s2345,2024-03-08 13:29:12.928943
42,validation,off,200,0.001,128,256,199,1.5949619219109819,0.8656038851351351,1.7014977931976318,0.758650149508757,p_recon | s2345,2024-03-08 13:30:12.741028
2024,validation,off,200,0.001,128,256,190,1.5911881230972909,0.8691934121621622,1.6977037191390991,0.7616403246475865,p_recon | s2345,2024-03-08 13:30:12.741028
4042,validation,off,200,0.001,128,256,186,1.59133659665649,0.8691934121621622,1.6927367448806763,0.7680478428022213,p_recon | s2345,2024-03-08 13:30:12.741028
8096,validation,off,200,0.001,128,256,182,1.5955855491999034,0.8650760135135135,1.7099767923355103,0.7492524562152926,p_recon | s2345,2024-03-08 13:30:12.741028
128000,validation,off,200,0.001,128,256,184,1.5993614905589335,0.8609586148648649,1.7177186012268066,0.7424177701836822,p_recon | s2345,2024-03-08 13:30:12.741028
