seed,nmi,tensor_label,export_time
42,0.38948674479648965,VAE | s2345,2024-03-10 12:59:17.383919
2024,0.4028053989452624,VAE | s2345,2024-03-10 12:59:17.383919
4042,0.41883391426841804,VAE | s2345,2024-03-10 12:59:17.383919
8096,0.4018607649818941,VAE | s2345,2024-03-10 12:59:17.383919
128000,0.4062733607406024,VAE | s2345,2024-03-10 12:59:17.383919
42,0.3583447169106486,p_link | s2345,2024-03-10 12:59:26.421822
2024,0.37552233033631277,p_link | s2345,2024-03-10 12:59:26.421822
4042,0.3754651299608744,p_link | s2345,2024-03-10 12:59:26.421822
8096,0.37582793970099804,p_link | s2345,2024-03-10 12:59:26.421822
128000,0.3755223303363129,p_link | s2345,2024-03-10 12:59:26.421822
42,0.38085987774590047,StandardAE | s2345,2024-03-10 12:59:35.465127
2024,0.3811641932373704,StandardAE | s2345,2024-03-10 12:59:35.465127
4042,0.37646812661903806,StandardAE | s2345,2024-03-10 12:59:35.465127
8096,0.37483184231101263,StandardAE | s2345,2024-03-10 12:59:35.465127
128000,0.38815579748060747,StandardAE | s2345,2024-03-10 12:59:35.465127
42,0.35901637955027194,no_pareto | s2345,2024-03-10 12:59:44.428216
2024,0.3736752542805417,no_pareto | s2345,2024-03-10 12:59:44.428216
4042,0.34164000367688646,no_pareto | s2345,2024-03-10 12:59:44.428216
8096,0.39548803702797614,no_pareto | s2345,2024-03-10 12:59:44.428216
128000,0.36481641130388337,no_pareto | s2345,2024-03-10 12:59:44.428216
42,0.25977710541763244,pca single_task_stacked | s2345,2024-03-10 12:59:57.016117
2024,0.25569005984963167,pca single_task_stacked | s2345,2024-03-10 12:59:57.016117
4042,0.251150018201754,pca single_task_stacked | s2345,2024-03-10 12:59:57.016117
8096,0.25056889820770356,pca single_task_stacked | s2345,2024-03-10 12:59:57.016117
128000,0.2498352063079658,pca single_task_stacked | s2345,2024-03-10 12:59:57.016117
42,0.16246043531999804,p_decor | s2345,2024-03-10 13:00:05.086727
2024,0.14423534937298788,p_decor | s2345,2024-03-10 13:00:05.086727
4042,0.16622029509372405,p_decor | s2345,2024-03-10 13:00:05.086727
8096,0.13431357632195415,p_decor | s2345,2024-03-10 13:00:05.086727
128000,0.16299272281245591,p_decor | s2345,2024-03-10 13:00:05.086727
42,0.16192224351679557,p_minsg | s2345,2024-03-10 13:00:14.091293
2024,0.16095689766167062,p_minsg | s2345,2024-03-10 13:00:14.091293
4042,0.1536653886567145,p_minsg | s2345,2024-03-10 13:00:14.091293
8096,0.16173071983314072,p_minsg | s2345,2024-03-10 13:00:14.091293
128000,0.16158706614588647,p_minsg | s2345,2024-03-10 13:00:14.091293
42,0.3944340552043569,p_ming | s2345,2024-03-10 13:00:22.697803
2024,0.3943857088240917,p_ming | s2345,2024-03-10 13:00:22.697803
4042,0.39375713419594005,p_ming | s2345,2024-03-10 13:00:22.697803
8096,0.3945017698244148,p_ming | s2345,2024-03-10 13:00:22.697803
128000,0.3940621371977654,p_ming | s2345,2024-03-10 13:00:22.697803
42,0.38793747029321496,pareto | s2345,2024-03-10 13:00:31.044583
2024,0.3646275293312891,pareto | s2345,2024-03-10 13:00:31.044583
4042,0.39258865722284664,pareto | s2345,2024-03-10 13:00:31.044583
8096,0.38796453419122756,pareto | s2345,2024-03-10 13:00:31.044583
128000,0.3935208537913809,pareto | s2345,2024-03-10 13:00:31.044583
42,0.40516617649267456,p_recon | s2345,2024-03-10 13:00:39.526441
2024,0.4012470786174834,p_recon | s2345,2024-03-10 13:00:39.526441
4042,0.4360262057563707,p_recon | s2345,2024-03-10 13:00:39.526441
8096,0.4017130200927167,p_recon | s2345,2024-03-10 13:00:39.526441
128000,0.4152816895537995,p_recon | s2345,2024-03-10 13:00:39.526441
