seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,168,1.1106651147206625,0.7974856321839081,1.2262126207351685,0.6732456140350878,pareto_512_512_512_512_256 | s2345,2024-03-21 21:51:07.412183
2024,validation,off,200,0.001,128,256,180,1.1052245418230693,0.8021731321839081,1.2147630453109741,0.6907894736842105,pareto_512_512_512_512_256 | s2345,2024-03-21 21:51:07.412183
4042,validation,off,200,0.001,128,256,179,1.1009179751078289,0.805603448275862,1.2038137912750244,0.6973684210526315,pareto_512_512_512_512_256 | s2345,2024-03-21 21:51:07.412183
8096,validation,off,200,0.001,128,256,188,1.1286223888397218,0.7772629310344829,1.251807451248169,0.6447368421052632,pareto_512_512_512_512_256 | s2345,2024-03-21 21:51:07.412183
128000,validation,off,200,0.001,128,256,195,1.1073827743530273,0.7998742816091954,1.2325745820999146,0.668859649122807,pareto_512_512_512_512_256 | s2345,2024-03-21 21:51:07.412183
42,validation,off,200,0.001,128,256,178,1.1329785664876302,0.7745689655172414,1.2624294757843018,0.6425438596491229,pareto_512_512_512_512_512_512_256 | s2345,2024-03-21 21:51:19.569927
2024,validation,off,200,0.001,128,256,187,1.117413345972697,0.7896731321839081,1.2536344528198242,0.6513157894736842,pareto_512_512_512_512_512_512_256 | s2345,2024-03-21 21:51:19.569927
4042,validation,off,200,0.001,128,256,188,1.1337448994318644,0.7699712643678162,1.244228720664978,0.6513157894736842,pareto_512_512_512_512_512_512_256 | s2345,2024-03-21 21:51:19.569927
8096,validation,off,200,0.001,128,256,165,1.1188902775446574,0.7847701149425287,1.2167805433273315,0.6864035087719298,pareto_512_512_512_512_512_512_256 | s2345,2024-03-21 21:51:19.569927
128000,validation,off,200,0.001,128,256,188,1.117136828104655,0.7901939655172414,1.2380996942520142,0.6600877192982456,pareto_512_512_512_512_512_512_256 | s2345,2024-03-21 21:51:19.569927
42,validation,off,200,0.001,128,256,161,1.0754825631777445,0.8305136494252873,1.19385826587677,0.7127192982456141,pareto_1024_1024_256 | s2345,2024-03-21 21:51:31.716261
2024,validation,off,200,0.001,128,256,195,1.080478032430013,0.8238326149425287,1.1727534532546997,0.7346491228070176,pareto_1024_1024_256 | s2345,2024-03-21 21:51:31.716261
4042,validation,off,200,0.001,128,256,175,1.068300235271454,0.8367636494252874,1.1976979970932007,0.6973684210526315,pareto_1024_1024_256 | s2345,2024-03-21 21:51:31.716261
8096,validation,off,200,0.001,128,256,195,1.0739423116048177,0.8316451149425287,1.1901441812515259,0.706140350877193,pareto_1024_1024_256 | s2345,2024-03-21 21:51:31.716261
128000,validation,off,200,0.001,128,256,189,1.074280599753062,0.830298132183908,1.2279257774353027,0.6732456140350878,pareto_1024_1024_256 | s2345,2024-03-21 21:51:31.716261
42,validation,off,200,0.001,128,256,179,1.1240851918856303,0.7829022988505747,1.242097020149231,0.6622807017543859,pareto_1024_1024_1024_1024_256 | s2345,2024-03-21 21:51:44.001443
2024,validation,off,200,0.001,128,256,199,1.116825032234192,0.7893318965517241,1.2512998580932617,0.6513157894736842,pareto_1024_1024_1024_1024_256 | s2345,2024-03-21 21:51:44.001443
4042,validation,off,200,0.001,128,256,197,1.1116366545359293,0.794665948275862,1.2187336683273315,0.6820175438596491,pareto_1024_1024_1024_1024_256 | s2345,2024-03-21 21:51:44.001443
8096,validation,off,200,0.001,128,256,196,1.119441850980123,0.785290948275862,1.2358585596084595,0.668859649122807,pareto_1024_1024_1024_1024_256 | s2345,2024-03-21 21:51:44.001443
128000,validation,off,200,0.001,128,256,195,1.1044217904408773,0.8022629310344828,1.2454309463500977,0.6557017543859649,pareto_1024_1024_1024_1024_256 | s2345,2024-03-21 21:51:44.001443
